AUTO, OTHER MOTOR VEHICLES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    30167     30457     29891     30361     30847     31260     31729     31124     32369     32396     32336     32693
1993    34021     33087     32430     34849     35267     35171     36479     36689     36342     37020     38267     39035
1994    38676     39648     40435     40972     40081     40475     40339     41053     42187     42856     43014     42718
1995    42991     41749     42482     42782     43442     45312     44520     45351     44783     44867     45343     45687
1996    45865     47731     47809     46962     47604     47172     47359     46899     48567     48718     48006     48069
1997    49223     49794     49373     49005     47406     49176     50346     50536     50355     49941     50318     50945
1998    50551     49882     51122     52518     52842     54306     51326     50016     52181     54221     54802     55400
1999    55418     56116     56554     56965     58046     58287     59314     60563     59792     59175     60835     60559
2000    62306     63801     63027     60592     60492     61345     59995     60075     61360     61017     59479     58207
2001    60970     61168     60635     61803     61922     61566     60916     61183     58857     75352     67325     63109
2002    62485     62979     61460     63025     59858     62104     64660     66924     62794     62319     62718     64635
2003    64454     61336     63363     64330     64353     64984     65680     67538     65684     64341     66239     64681
2004    63831     65586     66560     64479     67280     63515     65708     65839     69215     68248     67804     69644
2005    66536     67875     67736     68378     67471     73673     75962     67831     64858     62120     67113     67308
2006    70879     68002     68843     68640     68057     69407     70016     68969     68476     69373     69983     69467
2007    69452     69718     69535     69799     70790     68600     68703     70225     70956     71131     69638     67269
2008    67652     65970     65056     64207     62803     60738     57811     58726     56074     50230     48555     47685
2009    49464     47792     46981     47092     47889     50375     51559     56152     47388     50387     51390     50849
2010    50861     49626     54672     55259     55273     54903     56041     55751     56415     58253     58771     58499
2011    59794     60691     60662     60072     59083     59596     59607     58542     61618     62845     63100     64580
2012    64434     65534     65838     65814     66500     65668     65959     66824     68270     67715     68957     70081
2013    70654     71569     69969     71864     72245     74011     74208     73902     72875     74011     74727     74162
2014    71813     73928     76577     77735     78251     78306     78738     79666     79101     79510     80238     80385
2015    81113     78941     82576     82509     83765     83478     83383     84184     85203     85192     85582     85794
2016    84597     85377     82535     84851     84528     84916     86803     86488     87460                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.888     0.926     1.060     1.072     1.066     1.109     1.074     1.022     0.999     1.017     0.894     0.906
1993     0.854     0.895     1.099     1.069     1.066     1.110     1.067     1.026     1.001     0.982     0.920     0.907
1994     0.854     0.900     1.103     1.060     1.071     1.111     1.028     1.066     1.000     0.978     0.917     0.901
1995     0.856     0.906     1.111     1.020     1.111     1.110     1.023     1.072     0.993     0.979     0.916     0.869
1996     0.889     0.951     1.070     1.052     1.119     1.064     1.058     1.077     0.960     1.009     0.907     0.870
1997     0.894     0.922     1.071     1.047     1.116     1.066     1.056     1.046     0.990     1.008     0.871     0.899
1998     0.895     0.930     1.072     1.046     1.080     1.097     1.060     1.050     0.988     0.999     0.872     0.902
1999     0.867     0.936     1.105     1.045     1.078     1.095     1.059     1.056     0.989     0.963     0.897     0.910
2000     0.868     0.972     1.102     1.004     1.115     1.097     1.032     1.099     0.984     0.959     0.898     0.883
2001     0.898     0.933     1.092     1.006     1.112     1.093     1.045     1.105     0.952     0.985     0.895     0.893
2002     0.893     0.926     1.052     1.038     1.113     1.057     1.094     1.103     0.956     0.976     0.887     0.908
2003     0.890     0.919     1.051     1.041     1.106     1.063     1.106     1.066     0.984     0.970     0.854     0.952
2004     0.881     0.918     1.094     1.048     1.069     1.094     1.110     1.071     0.983     0.925     0.882     0.961
2005     0.853     0.909     1.101     1.049     1.074     1.074     1.076     1.104     0.981     0.930     0.879     0.964
2006     0.850     0.912     1.110     1.024     1.107     1.069     1.067     1.108     0.978     0.925     0.881     0.940
2007     0.879     0.917     1.112     1.020     1.110     1.068     1.057     1.108     0.950     0.952     0.879     0.941
2008     0.889     0.958     1.081     1.049     1.107     1.033     1.085     1.074     0.965     0.961     0.861     0.968
2009     0.896     0.926     1.080     1.052     1.074     1.050     1.081     1.066     0.971     0.961     0.862     0.980
2010     0.875     0.931     1.113     1.046     1.064     1.052     1.074     1.058     0.973     0.936     0.889     0.990
2011     0.872     0.932     1.121     1.046     1.056     1.052     1.042     1.086     0.968     0.934     0.903     0.993
2012     0.866     0.972     1.123     1.013     1.091     1.046     1.031     1.095     0.944     0.957     0.911     0.967
2013     0.890     0.929     1.093     1.035     1.097     1.019     1.059     1.096     0.941     0.961     0.915     0.964
2014     0.889     0.925     1.086     1.038     1.098     1.016     1.065     1.070     0.964     0.965     0.895     0.992
2015     0.884     0.920     1.073     1.041     1.070     1.035     1.072     1.067     0.973     0.964     0.892     0.996
2016     0.859     0.953     1.107     1.043     1.060     1.046     1.045     1.092     0.977     0.938     0.919     1.001
2017     0.853     0.920     1.110     1.014     1.089     1.041     1.042     1.096     0.981     0.933     0.922     0.976
2018     0.877     0.920     1.108     1.009     1.091     1.043     1.038     1.100     0.956                              
