BUILDING MATERIALS, GARDEN EQ. & SUPPLY DEALERS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    10845     10904     10986     10738     10777     10790     10785     10915     10980     10971     10873     11082
1993    11333     11410     11184     11417     11720     11669     11781     11875     11786     11908     12297     12583
1994    12316     12233     12767     13076     13033     12987     13130     13224     13375     13550     13384     13981
1995    13738     13613     13587     13415     13370     13548     13645     13683     13837     13932     14092     14683
1996    14023     14036     14153     14340     14450     14902     14826     14981     14989     15040     15264     14980
1997    15197     15561     15862     15709     15805     15918     15973     16027     16283     16232     16158     16356
1998    16436     16462     16511     16716     16741     16662     16819     16828     16972     17209     17341     17702
1999    17732     17943     17760     17791     17914     17969     18183     18341     18175     18606     18944     19125
2000    19613     19193     20175     18986     18941     18878     18982     18951     18926     18965     18689     19356
2001    19248     19698     19562     20373     20147     19900     19838     19920     19664     20054     19982     20120
2002    20359     20515     20370     21274     20874     20725     20674     20683     20732     20603     20969     20415
2003    21270     20041     21326     21139     21328     22003     22372     22489     22630     22869     22864     22748
2004    22637     22727     24992     24565     24420     24622     24538     24713     25045     24842     24974     25679
2005    25979     25765     26084     26744     26500     26707     26558     26701     27127     27618     27674     27328
2006    29544     29479     29606     28813     27795     27422     27283     27413     26895     27132     26706     27186
2007    27355     27124     27660     26460     27236     26640     26829     26694     26467     26183     26484     25720
2008    25705     25622     25131     25574     25633     25779     25969     25326     25092     24638     23351     22774
2009    22714     22523     22160     22094     22342     22268     21936     21437     21362     20634     20981     20894
2010    20563     20469     21823     23447     21724     21575     21467     21237     21429     22080     21873     22204
2011    21463     21214     21913     21936     22292     22810     22779     22727     22659     23226     22930     23494
2012    23578     23657     24538     23335     22784     22467     22664     23132     23780     23737     24025     24300
2013    24487     24897     24441     25093     25489     25061     25543     25429     25550     25209     25172     25184
2014    25318     25293     25559     26252     26502     26924     26537     26838     26866     26931     27277     26911
2015    27219     26568     27266     27237     27363     27190     28066     28072     27881     28189     28566     29505
2016    29426     29627     29477     29011     28258     29321     29239     29019     29434                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.830     0.829     0.960     1.081     1.132     1.128     1.081     1.027     1.028     1.058     0.933     0.945
1993     0.790     0.809     0.989     1.083     1.129     1.129     1.063     1.049     1.027     1.025     0.965     0.943
1994     0.788     0.808     0.990     1.062     1.149     1.132     1.033     1.078     1.029     1.024     0.966     0.927
1995     0.802     0.806     0.990     1.033     1.181     1.137     1.034     1.077     1.007     1.044     0.965     0.897
1996     0.825     0.840     0.944     1.091     1.182     1.084     1.090     1.054     0.993     1.074     0.946     0.914
1997     0.823     0.801     0.946     1.095     1.167     1.107     1.093     1.018     1.023     1.067     0.915     0.936
1998     0.807     0.799     0.968     1.100     1.142     1.147     1.091     1.016     1.017     1.043     0.929     0.932
1999     0.781     0.796     0.996     1.111     1.155     1.150     1.072     1.034     1.012     1.005     0.957     0.924
2000     0.780     0.828     0.995     1.064     1.224     1.157     1.038     1.065     0.989     1.023     0.954     0.873
2001     0.819     0.788     0.977     1.092     1.231     1.140     1.060     1.062     0.958     1.050     0.955     0.869
2002     0.818     0.784     0.948     1.135     1.229     1.111     1.090     1.042     0.976     1.052     0.937     0.884
2003     0.815     0.780     0.950     1.138     1.207     1.133     1.089     1.009     1.008     1.051     0.911     0.909
2004     0.800     0.785     1.002     1.138     1.170     1.167     1.067     1.031     1.006     1.002     0.962     0.909
2005     0.773     0.773     1.006     1.106     1.199     1.166     1.035     1.063     1.007     1.001     0.967     0.895
2006     0.785     0.769     1.001     1.070     1.245     1.167     1.039     1.066     0.983     1.019     0.975     0.863
2007     0.802     0.764     0.982     1.085     1.263     1.146     1.064     1.060     0.952     1.046     0.979     0.865
2008     0.798     0.790     0.947     1.119     1.248     1.139     1.105     1.003     0.998     1.045     0.932     0.911
2009     0.776     0.754     0.965     1.122     1.213     1.183     1.101     1.001     0.995     1.026     0.949     0.918
2010     0.745     0.750     0.994     1.126     1.221     1.184     1.081     1.018     0.995     0.991     0.979     0.917
2011     0.743     0.748     0.999     1.107     1.251     1.185     1.040     1.048     0.994     0.992     0.976     0.902
2012     0.758     0.776     0.980     1.101     1.298     1.155     1.058     1.050     0.944     1.040     0.975     0.872
2013     0.786     0.744     0.948     1.146     1.296     1.116     1.089     1.034     0.959     1.041     0.953     0.888
2014     0.786     0.744     0.950     1.152     1.275     1.131     1.095     1.001     0.989     1.032     0.924     0.915
2015     0.774     0.744     0.972     1.154     1.217     1.166     1.096     0.993     0.985     1.011     0.941     0.919
2016     0.749     0.784     1.020     1.125     1.232     1.174     1.039     1.041     0.984     0.975     0.975     0.911
2017     0.774     0.758     1.019     1.091     1.264     1.170     1.040     1.044     0.962     0.993     0.979     0.881
2018     0.800     0.760     1.004     1.108     1.267     1.144     1.061     1.039     0.935                              
