CLOTHING & CLOTHING ACCESSORIES STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     9716      9712      9669      9862      9755      9915      9957     10141     10154     10174     10076     10318
1993    10581     10150      9916     10257     10386     10411     10593     10406     10549     10449     10475     10442
1994    10450     10587     10806     10554     10451     10612     10672     10839     10674     11000     10983     10952
1995    10939     10582     10850     10796     10976     10948     10824     10813     11198     10882     11269     11124
1996    11105     11341     11376     11422     11504     11365     11316     11360     11534     11577     11318     11435
1997    11513     11468     11623     11195     11413     11643     11735     11828     11845     11881     11936     12110
1998    12154     12199     12164     12459     12304     12447     12559     12460     12180     12540     12736     12746
1999    12897     12920     13075     13139     13373     13373     13270     13404     13381     13400     13416     13573
2000    13301     13532     13818     13801     14027     13864     13722     14072     14366     14231     14294     14084
2001    14135     14166     13801     14217     13950     13804     13994     14171     13286     13973     13970     14126
2002    14220     14357     14436     14410     14220     14366     14200     14338     13966     14625     14456     14714
2003    14565     14142     14465     14434     14651     14894     15141     15089     15175     15067     15338     15456
2004    15513     15687     15984     15567     15736     15555     15645     15660     15764     16055     16044     16183
2005    16162     16665     16271     16708     16528     16797     16460     16750     16402     17154     17117     17196
2006    17363     17382     17404     17563     17466     17664     17739     17629     18245     18151     17861     18515
2007    18493     18152     18684     18178     18511     18398     18561     18444     18449     18436     18702     18586
2008    18539     18270     18318     18450     18603     18713     18647     18553     17563     17274     17196     16836
2009    17145     17417     16570     16856     17037     16807     16989     17262     17169     17279     17115     17094
2010    17346     17357     17850     17734     17633     17507     17561     17699     17640     18010     18521     18138
2011    18324     18506     18728     18906     18873     19120     19004     18898     19465     19126     19368     19487
2012    19603     20078     20028     19517     19660     19844     19787     19908     20160     19960     20010     20209
2013    20547     20286     20334     20696     20454     20503     20666     20422     20451     20950     20390     20709
2014    20597     20494     20711     21103     20762     20817     20913     21018     20790     21057     21351     21138
2015    21022     21036     21321     21228     21480     21307     21407     21356     21257     21091     21275     21233
2016    21232     21356     21132     21169     21259     21307     21281     21388     21398                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.711     0.774     0.881     0.948     0.975     0.923     0.915     1.037     0.944     1.008     1.110     1.791
1993     0.706     0.741     0.887     0.958     0.967     0.922     0.928     1.021     0.954     0.988     1.123     1.806
1994     0.696     0.746     0.924     0.933     0.956     0.933     0.911     1.028     0.962     0.974     1.123     1.828
1995     0.685     0.753     0.911     0.942     0.966     0.943     0.903     1.040     0.961     0.957     1.132     1.788
1996     0.691     0.794     0.917     0.928     0.991     0.929     0.900     1.067     0.925     0.971     1.137     1.739
1997     0.711     0.769     0.936     0.906     1.010     0.915     0.912     1.048     0.927     0.977     1.107     1.748
1998     0.724     0.778     0.893     0.954     0.994     0.920     0.924     1.038     0.921     0.987     1.085     1.762
1999     0.713     0.786     0.925     0.946     0.985     0.917     0.939     1.023     0.925     0.965     1.089     1.778
2000     0.708     0.822     0.929     0.955     0.978     0.936     0.911     1.040     0.933     0.939     1.094     1.766
2001     0.710     0.806     0.947     0.942     0.988     0.937     0.898     1.045     0.910     0.947     1.100     1.748
2002     0.726     0.814     0.967     0.916     0.996     0.918     0.904     1.054     0.893     0.959     1.100     1.725
2003     0.743     0.819     0.924     0.950     1.008     0.906     0.913     1.026     0.897     0.973     1.079     1.732
2004     0.761     0.844     0.920     0.970     0.977     0.914     0.938     0.994     0.907     0.971     1.071     1.758
2005     0.746     0.826     0.967     0.938     0.966     0.925     0.923     0.998     0.919     0.963     1.073     1.762
2006     0.743     0.827     0.943     0.956     0.978     0.934     0.917     1.011     0.927     0.951     1.084     1.706
2007     0.754     0.825     0.966     0.938     0.995     0.938     0.908     1.023     0.916     0.959     1.099     1.652
2008     0.764     0.863     0.974     0.921     1.024     0.908     0.930     1.026     0.910     0.977     1.090     1.603
2009     0.780     0.837     0.937     0.966     1.011     0.916     0.942     1.020     0.914     0.988     1.074     1.588
2010     0.762     0.847     0.973     0.959     1.004     0.920     0.958     1.009     0.922     0.967     1.082     1.582
2011     0.749     0.854     0.972     0.989     0.992     0.930     0.943     1.018     0.927     0.954     1.081     1.601
2012     0.734     0.884     1.004     0.956     1.014     0.943     0.923     1.042     0.912     0.944     1.100     1.558
2013     0.743     0.856     1.017     0.936     1.024     0.928     0.934     1.060     0.893     0.953     1.106     1.539
2014     0.743     0.853     0.971     0.971     1.043     0.913     0.949     1.045     0.898     0.959     1.093     1.548
2015     0.749     0.851     0.971     0.963     1.030     0.921     0.958     1.039     0.897     0.972     1.079     1.563
2016     0.733     0.877     1.006     0.957     1.006     0.933     0.957     1.034     0.914     0.944     1.093     1.597
2017     0.715     0.853     0.980     0.971     1.014     0.941     0.947     1.048     0.918     0.930     1.105     1.568
2018     0.720     0.853     1.028     0.922     1.027     0.945     0.933     1.057     0.904                              
