DEPARTMENT STORES (EXCL. LEASED DEPT.)


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    14134     14472     14543     14529     14634     14597     14469     14729     14816     14870     14994     15310
1993    15334     15119     14985     15406     15523     15517     15757     15775     15785     15985     15987     15988
1994    16036     16203     16663     16337     16301     16478     16543     16635     16676     16796     16866     16949
1995    17205     16680     16904     16985     16997     17269     17487     17231     17440     17188     17283     17332
1996    17082     17336     17248     17675     17624     17544     17581     17737     17866     18017     17970     18117
1997    18138     18185     18238     18096     18194     18276     18529     18556     18446     18580     18652     18427
1998    18474     18698     18529     18649     18653     18553     18489     18548     18589     18692     18805     18855
1999    19059     19351     19372     19075     19032     19270     19203     19191     19343     19256     19116     19249
2000    19204     19158     19227     19208     19397     19217     19132     19203     19362     19319     19529     19677
2001    19904     19170     18542     19073     18991     18889     19121     19093     18864     18955     19135     19038
2002    18935     18811     18905     19018     18530     18604     18297     18261     18041     18541     18010     17917
2003    17807     17670     17763     17687     17838     17912     18140     18207     18157     17889     17810     17791
2004    17800     17871     18165     17752     17921     17695     17888     17896     17943     18016     17942     18137
2005    18011     18147     17821     18150     17838     18251     17867     17840     17557     18059     18044     17788
2006    18030     17994     17888     17916     17773     17824     17599     17563     17813     17664     17600     17716
2007    17949     17620     17822     17473     17546     17351     17559     17498     17299     17286     17313     17185
2008    16753     16828     16716     16789     16891     17105     16786     16571     16127     16011     16368     15800
2009    15796     15664     15611     15643     15717     15447     15454     15575     15487     15620     15474     15447
2010    15559     15483     15789     15537     15371     15373     15242     15266     15182     15166     15701     15270
2011    15228     15410     15378     15577     15316     15570     15290     15115     15246     15137     15159     15112
2012    15015     15114     15239     14862     14727     14747     14830     14738     14664     14548     14453     14451
2013    14734     14448     14367     14232     14245     14152     14097     14070     14107     14277     14071     13957
2014    13615     14004     14067     14414     14161     14023     14093     14048     13884     13875     13924     13917
2015    13920     13690     14139     13543     13958     13752     13725     13709     13676     13600     13559     13648
2016    13309     13314     13217     13267     13146     13142     12969     12893     12803                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.729     0.778     0.889     0.928     0.978     0.915     0.907     1.005     0.898     1.005     1.207     1.782
1993     0.728     0.746     0.894     0.924     0.973     0.925     0.912     0.980     0.917     1.000     1.190     1.804
1994     0.726     0.749     0.912     0.911     0.950     0.948     0.913     0.987     0.914     0.993     1.200     1.791
1995     0.711     0.754     0.912     0.926     0.960     0.948     0.915     0.991     0.917     0.964     1.223     1.765
1996     0.718     0.793     0.916     0.900     0.990     0.951     0.899     1.010     0.902     0.970     1.191     1.741
1997     0.742     0.775     0.935     0.893     0.995     0.944     0.902     1.002     0.882     0.982     1.188     1.736
1998     0.751     0.785     0.895     0.940     0.996     0.928     0.915     0.993     0.884     0.974     1.177     1.733
1999     0.760     0.792     0.920     0.927     0.992     0.933     0.915     0.965     0.897     0.963     1.160     1.762
2000     0.767     0.809     0.930     0.948     0.974     0.944     0.908     0.976     0.891     0.931     1.201     1.746
2001     0.761     0.799     0.930     0.941     0.973     0.944     0.889     0.999     0.884     0.938     1.199     1.733
2002     0.768     0.803     0.949     0.902     0.988     0.938     0.898     1.002     0.876     0.944     1.172     1.732
2003     0.786     0.811     0.921     0.928     0.984     0.927     0.904     0.997     0.864     0.967     1.172     1.731
2004     0.790     0.847     0.904     0.941     0.975     0.919     0.920     0.963     0.891     0.968     1.153     1.753
2005     0.789     0.822     0.936     0.918     0.950     0.937     0.914     0.964     0.888     0.967     1.172     1.745
2006     0.775     0.822     0.924     0.939     0.957     0.935     0.912     0.970     0.888     0.943     1.206     1.731
2007     0.780     0.819     0.929     0.921     0.966     0.940     0.894     0.991     0.881     0.944     1.211     1.717
2008     0.783     0.848     0.945     0.892     0.988     0.930     0.905     0.997     0.855     0.958     1.195     1.716
2009     0.795     0.821     0.903     0.934     0.982     0.919     0.917     0.985     0.871     0.956     1.188     1.716
2010     0.787     0.827     0.932     0.916     0.972     0.929     0.916     0.964     0.890     0.947     1.176     1.735
2011     0.780     0.833     0.928     0.934     0.946     0.946     0.911     0.970     0.891     0.943     1.190     1.732
2012     0.758     0.870     0.953     0.915     0.958     0.943     0.888     0.997     0.893     0.928     1.218     1.705
2013     0.765     0.834     0.972     0.877     0.979     0.937     0.893     1.004     0.884     0.935     1.199     1.707
2014     0.774     0.828     0.942     0.904     0.988     0.924     0.899     1.006     0.868     0.949     1.206     1.715
2015     0.774     0.822     0.931     0.911     0.984     0.912     0.913     0.993     0.880     0.951     1.201     1.725
2016     0.767     0.841     0.955     0.899     0.955     0.936     0.912     0.980     0.887     0.942     1.202     1.746
2017     0.745     0.815     0.947     0.923     0.964     0.936     0.909     0.987     0.890     0.921     1.228     1.733
2018     0.750     0.815     0.976     0.889     0.969     0.942     0.888     1.004     0.886                              
