ELECTRONICS & APPLIANCE STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     3370      3397      3414      3498      3515      3572      3624      3543      3575      3697      3604      3668
1993     3742      3771      3824      3897      3927      4011      4202      4152      4213      4188      4234      4258
1994     4311      4416      4500      4510      4586      4755      4720      4817      4886      5047      5139      5197
1995     5236      5228      5253      5135      5368      5433      5338      5470      5481      5550      5587      5644
1996     5576      5559      5669      5737      5759      5694      5652      5730      5827      5812      5679      5608
1997     5516      5723      5707      5834      5772      5809      5929      5924      5918      5912      5994      6021
1998     6100      6125      6100      6038      6071      6229      6284      6381      6241      6261      6326      6320
1999     6319      6325      6425      6442      6541      6582      6673      6611      6696      6672      6588      6808
2000     6912      6959      6926      7002      6898      6751      6717      6781      6894      6764      6688      6679
2001     6674      6605      6562      6497      6467      6571      6631      6633      6506      6669      6951      7073
2002     6929      6988      7040      7005      7049      7050      6969      6878      6952      6980      6915      6977
2003     6882      6730      6823      6892      7062      7130      7237      7384      7379      7458      7511      7600
2004     7546      7549      7644      7718      7761      7826      7837      7838      7908      7921      7962      7999
2005     8095      8289      8263      8282      8274      8342      8371      8408      8515      8601      8503      8454
2006     9013      8674      8739      8706      8677      8702      8709      8705      8777      8661      8847      9190
2007     8910      8818      8732      8741      8776      8670      8758      8882      8893      8951      9238      9105
2008     8925      8886      8900      9003      9183      9040      9016      8833      8662      8473      8510      8169
2009     8605      8559      7902      7817      7763      7831      7706      7731      7782      7717      8083      7899
2010     8013      8248      7961      8096      8158      8271      8139      8069      8221      8124      7985      8098
2011     8030      8138      8282      8303      8227      8258      8351      8363      8298      8706      8522      8268
2012     8344      8349      8513      8389      8519      8451      8627      8459      8444      8304      8600      8678
2013     8692      8760      8548      8619      8586      8580      8582      8569      8539      8708      8563      8497
2014     8522      8515      8621      8587      8499      8404      8508      8573      8773      8779      9024      8893
2015     8853      8617      8631      8750      8800      9039      8840      8765      8778      8684      8609      8439
2016     8483      8472      8508      8519      8538      8504      8486      8517      8443                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.962     0.896     0.952     0.905     0.912     0.963     0.961     0.965     0.952     0.981     1.062     1.516
1993     0.950     0.865     0.964     0.906     0.910     0.963     0.956     0.967     0.953     0.969     1.075     1.523
1994     0.944     0.865     0.968     0.903     0.914     0.964     0.937     0.981     0.956     0.965     1.079     1.523
1995     0.942     0.865     0.971     0.892     0.928     0.963     0.930     0.989     0.957     0.959     1.080     1.501
1996     0.952     0.902     0.961     0.901     0.935     0.945     0.944     0.999     0.943     0.962     1.078     1.490
1997     0.961     0.878     0.958     0.899     0.932     0.940     0.955     0.991     0.948     0.952     1.060     1.510
1998     0.967     0.890     0.960     0.894     0.919     0.945     0.962     0.988     0.943     0.940     1.060     1.532
1999     0.959     0.898     0.970     0.890     0.914     0.940     0.959     0.985     0.939     0.919     1.075     1.568
2000     0.955     0.935     0.970     0.870     0.920     0.939     0.935     0.997     0.936     0.910     1.088     1.586
2001     0.958     0.899     0.964     0.857     0.923     0.937     0.928     0.999     0.919     0.917     1.102     1.610
2002     0.954     0.894     0.943     0.857     0.924     0.929     0.934     1.005     0.909     0.922     1.109     1.623
2003     0.948     0.890     0.934     0.853     0.928     0.928     0.939     0.995     0.916     0.922     1.102     1.638
2004     0.946     0.916     0.941     0.859     0.914     0.938     0.944     0.989     0.918     0.908     1.116     1.638
2005     0.930     0.901     0.946     0.861     0.913     0.938     0.931     0.997     0.919     0.897     1.124     1.638
2006     0.929     0.907     0.945     0.852     0.926     0.939     0.931     0.999     0.915     0.887     1.134     1.613
2007     0.940     0.911     0.946     0.849     0.933     0.939     0.933     1.000     0.898     0.887     1.149     1.601
2008     0.942     0.948     0.929     0.859     0.939     0.931     0.949     0.989     0.904     0.884     1.144     1.598
2009     0.943     0.920     0.935     0.862     0.921     0.945     0.950     0.985     0.905     0.888     1.154     1.581
2010     0.924     0.926     0.955     0.864     0.915     0.943     0.955     0.978     0.910     0.884     1.177     1.564
2011     0.918     0.932     0.969     0.862     0.908     0.936     0.941     0.983     0.914     0.896     1.189     1.558
2012     0.915     0.966     0.977     0.844     0.917     0.928     0.935     0.980     0.910     0.917     1.204     1.531
2013     0.928     0.932     0.961     0.849     0.913     0.910     0.939     0.979     0.920     0.933     1.217     1.524
2014     0.927     0.926     0.953     0.844     0.913     0.907     0.938     0.963     0.947     0.940     1.211     1.534
2015     0.926     0.918     0.941     0.842     0.901     0.919     0.939     0.967     0.958     0.947     1.212     1.530
2016     0.909     0.939     0.950     0.842     0.900     0.924     0.932     0.982     0.966     0.932     1.229     1.532
2017     0.905     0.904     0.946     0.831     0.911     0.931     0.932     0.989     0.966     0.932     1.229     1.508
2018     0.912     0.902     0.948     0.829     0.915     0.932     0.931     0.990     0.953                              
