RETAIL & FOOD SERVICES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992   164083    164260    163747    164759    165617    166098    167305    167797    169407    170681    171025    172995
1993   175078    173770    172328    176766    178445    178201    180759    180692    181800    182910    184746    186339
1994   185128    188077    191588    191632    190940    193196    193763    196157    197754    199579    199723    200670
1995   201583    198383    200230    201048    202993    205507    204959    206529    206978    206157    208661    210434
1996   208731    212011    213855    214644    216304    216059    216374    216355    219240    221039    220989    221898
1997   223524    225409    226136    224588    222906    226048    228738    229317    230284    229822    230486    231197
1998   231605    231664    233043    235976    237055    238958    237423    236412    238542    242531    244307    246577
1999   246891    249510    250657    252418    254738    255472    257441    260253    261352    261825    264883    269876
2000   268091    272020    275214    271004    271418    273440    272638    272943    277523    276973    275923    275736
2001   278916    278799    276468    280804    281540    280399    279522    281423    276095    294613    286960    283708
2002   283577    285061    284263    288820    284994    287401    290427    292582    288434    289634    291475    293819
2003   295294    291178    296347    295643    296395    299662    302788    307745    305916    304824    308551    307362
2004   309225    311427    316935    313531    318962    314971    318532    318945    324607    326680    327837    331877
2005   329187    332847    332517    337608    334551    344034    346715    342950    343711    344390    347047    347441
2006   357626    354614    356357    357320    356423    357763    359217    360497    358468    358435    359256    364300
2007   363462    364090    367714    366065    370887    367933    369472    370982    373138    375048    378371    375349
2008   375303    371661    371961    373877    375790    376584    374774    372091    366167    352900    339942    332065
2009   336977    335765    330219    331314    334290    339532    340286    346705    338356    341590    344911    346258
2010   346349    346972    354625    357086    354430    353830    354536    356560    359440    363855    367352    369299
2011   372041    375003    378472    380284    380398    383081    382966    383541    387313    390302    391478    391695
2012   395280    400181    401830    400095    399463    395723    397516    401937    405707    405598    407327    409468
2013   412207    416783    412514    413391    414207    415989    417962    417101    417682    419686    421056    422891
2014   419195    424657    429707    433082    434161    435587    435429    438598    437932    439829    441445    437996
2015   435881    433579    440463    440355    444400    444747    447112    447738    447860    447066    448454    450448
2016   448041    449294    447907    453397    454135    457409    457849    456976    459821                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.897     0.895     0.975     0.993     1.027     1.017     1.016     1.017     0.972     1.017     1.001     1.203
1993     0.880     0.864     0.989     0.997     1.022     1.018     1.017     1.016     0.977     0.998     1.014     1.207
1994     0.875     0.865     0.997     0.991     1.022     1.025     0.998     1.031     0.981     0.992     1.013     1.204
1995     0.873     0.868     1.004     0.973     1.037     1.031     0.993     1.037     0.976     0.990     1.016     1.176
1996     0.886     0.907     0.989     0.984     1.050     1.008     1.006     1.044     0.956     1.006     1.013     1.164
1997     0.895     0.876     0.988     0.985     1.052     1.008     1.012     1.024     0.968     1.009     0.991     1.176
1998     0.897     0.880     0.990     0.991     1.034     1.021     1.017     1.019     0.967     1.007     0.987     1.179
1999     0.883     0.884     1.007     0.997     1.029     1.021     1.018     1.018     0.971     0.986     0.998     1.182
2000     0.881     0.918     1.018     0.977     1.042     1.030     0.996     1.039     0.970     0.978     1.003     1.159
2001     0.894     0.886     1.020     0.976     1.048     1.024     0.997     1.044     0.953     0.989     1.005     1.151
2002     0.902     0.886     1.002     0.990     1.053     1.005     1.014     1.045     0.951     0.994     1.000     1.147
2003     0.907     0.886     0.997     0.993     1.054     1.003     1.024     1.027     0.961     0.997     0.981     1.161
2004     0.909     0.905     1.009     1.003     1.032     1.017     1.031     1.021     0.967     0.978     0.990     1.171
2005     0.889     0.885     1.016     0.998     1.033     1.022     1.013     1.036     0.969     0.972     0.990     1.170
2006     0.890     0.887     1.022     0.980     1.049     1.027     1.006     1.039     0.964     0.970     0.996     1.148
2007     0.905     0.888     1.024     0.979     1.055     1.023     1.004     1.041     0.946     0.982     1.001     1.140
2008     0.913     0.927     1.003     0.993     1.060     1.003     1.021     1.021     0.955     0.992     0.982     1.151
2009     0.920     0.893     1.005     1.000     1.040     1.013     1.023     1.013     0.957     0.992     0.982     1.156
2010     0.905     0.896     1.022     1.004     1.032     1.013     1.020     1.011     0.962     0.976     0.997     1.158
2011     0.899     0.897     1.030     1.001     1.030     1.016     1.001     1.026     0.967     0.971     1.000     1.157
2012     0.897     0.931     1.036     0.982     1.050     1.014     0.995     1.039     0.948     0.985     1.011     1.129
2013     0.911     0.896     1.017     0.993     1.056     0.996     1.009     1.041     0.948     0.991     1.009     1.128
2014     0.912     0.894     1.010     0.993     1.057     0.994     1.017     1.026     0.961     0.996     0.993     1.144
2015     0.909     0.891     1.007     0.998     1.040     1.008     1.025     1.020     0.963     0.996     0.992     1.152
2016     0.892     0.920     1.025     0.996     1.034     1.017     1.009     1.034     0.972     0.973     1.006     1.157
2017     0.885     0.888     1.028     0.979     1.048     1.022     1.004     1.040     0.968     0.972     1.011     1.137
2018     0.897     0.888     1.028     0.977     1.055     1.018     1.004     1.044     0.952                              
