FOOD SERVICES & DRINKING PLACES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    17170     16990     16916     16677     16602     16277     16496     16733     16812     17104     17420     17491
1993    17553     17478     17554     17770     17821     18030     17927     18201     18515     18199     18153     18238
1994    17624     18425     18813     18533     18600     18889     18962     18868     18978     19010     19028     19178
1995    19160     18911     19234     19346     19450     19419     19489     19715     19640     19611     19609     19625
1996    19564     19742     19862     19932     20094     19932     20145     20140     20397     20551     20789     20707
1997    21110     21136     21171     21216     21230     21382     21689     21674     21986     21758     21504     21818
1998    21921     22132     22251     22353     22436     22634     22570     22743     22830     23066     23157     23351
1999    22871     23270     23250     23440     23500     23546     23508     23664     23836     24265     24421     24378
2000    24608     24887     25367     25215     25193     25262     25454     25342     25711     25706     25698     25133
2001    26180     26069     26122     26045     26278     26379     26507     26853     26239     26541     26597     27156
2002    27201     27384     27203     27500     27378     27586     27616     27607     27784     27623     27916     28017
2003    28018     27979     28505     28403     29048     29230     29395     29844     29503     30045     30229     29795
2004    30341     30461     30703     30560     30712     30825     31191     31036     31430     31625     31659     32111
2005    32000     32469     32305     32791     32778     33009     33025     33229     33283     33618     33986     33998
2006    35021     34497     34830     34862     34910     34729     34735     35367     35653     35784     35846     37062
2007    36395     36014     36579     36664     36732     37042     37272     37189     37427     37759     37609     38374
2008    37743     37209     37591     37728     38091     38145     38267     38278     38347     38121     38098     38066
2009    38096     37903     37521     37738     37721     37715     37717     37610     37517     37462     37781     37736
2010    37502     38269     38417     38661     38626     38879     38997     39406     39388     39518     39754     39584
2011    39487     40426     40613     40584     41051     41541     41475     41720     42059     42210     42203     41958
2012    42734     43015     42958     43425     43330     43553     43724     43751     44031     43779     44351     44673
2013    44936     44746     45009     44625     44752     44543     44887     44988     45231     45918     46827     46071
2014    45771     46272     46965     47107     47459     47675     47941     48269     48803     49502     49665     50182
2015    50467     50236     50829     51450     51473     51668     51995     52292     52378     52521     52974     53725
2016    53163     54168     54132     54263     54547     54801     54746     55152     55599                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.914     0.932     0.996     0.989     1.063     1.033     1.049     1.069     0.979     1.033     0.960     1.000
1993     0.923     0.894     0.992     1.004     1.050     1.030     1.065     1.062     0.978     1.030     0.962     1.007
1994     0.912     0.896     0.997     1.013     1.043     1.029     1.063     1.057     0.992     1.016     0.959     1.020
1995     0.905     0.898     1.007     1.003     1.039     1.042     1.052     1.059     0.998     1.008     0.958     1.016
1996     0.902     0.934     1.020     0.995     1.052     1.037     1.041     1.082     0.972     1.009     0.978     0.995
1997     0.915     0.905     1.010     0.995     1.068     1.023     1.045     1.075     0.973     1.016     0.965     0.993
1998     0.931     0.908     1.004     0.995     1.064     1.025     1.052     1.049     0.978     1.029     0.951     1.000
1999     0.932     0.911     1.003     1.010     1.049     1.023     1.066     1.040     0.975     1.024     0.952     1.011
2000     0.923     0.944     1.017     1.006     1.037     1.038     1.049     1.044     0.993     1.001     0.948     1.025
2001     0.915     0.913     1.034     0.993     1.041     1.045     1.041     1.054     0.980     0.995     0.960     1.014
2002     0.921     0.913     1.034     0.996     1.049     1.032     1.037     1.070     0.966     0.999     0.966     1.006
2003     0.930     0.914     1.023     0.995     1.064     1.018     1.041     1.067     0.968     1.007     0.955     1.003
2004     0.944     0.944     1.014     1.010     1.047     1.018     1.062     1.037     0.972     1.020     0.947     1.013
2005     0.931     0.916     1.014     1.024     1.039     1.017     1.058     1.032     0.987     1.009     0.944     1.026
2006     0.925     0.917     1.029     1.008     1.036     1.030     1.045     1.036     0.994     1.001     0.944     1.020
2007     0.923     0.919     1.045     0.997     1.043     1.038     1.034     1.044     0.983     0.996     0.956     1.006
2008     0.929     0.960     1.024     1.005     1.068     1.015     1.034     1.056     0.971     1.008     0.953     0.991
2009     0.950     0.922     1.025     1.002     1.067     1.017     1.040     1.034     0.975     1.021     0.940     0.995
2010     0.947     0.924     1.025     1.019     1.056     1.014     1.052     1.023     0.974     1.016     0.942     1.005
2011     0.936     0.925     1.035     1.029     1.048     1.013     1.044     1.016     0.984     1.005     0.941     1.023
2012     0.928     0.952     1.063     1.008     1.050     1.031     1.018     1.027     0.977     0.995     0.957     1.013
2013     0.929     0.926     1.055     1.019     1.059     1.018     1.011     1.040     0.963     1.001     0.965     1.009
2014     0.936     0.925     1.050     1.011     1.074     1.003     1.014     1.036     0.963     1.011     0.957     1.009
2015     0.948     0.925     1.042     1.013     1.073     1.004     1.019     1.014     0.966     1.026     0.947     1.016
2016     0.944     0.954     1.036     1.043     1.051     1.002     1.028     1.004     0.978     1.010     0.947     1.040
2017     0.926     0.926     1.052     1.026     1.047     1.017     1.015     1.010     0.985     1.001     0.949     1.036
2018     0.922     0.927     1.061     1.020     1.052     1.024     1.006     1.019     0.974                              
