FOOD & BEVERAGE STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    30437     30382     30526     30602     30718     30761     30963     31041     30942     31148     30992     31057
1993    31045     31233     31058     31129     31164     31168     31349     31126     31201     31346     31363     31499
1994    31468     31688     31700     31899     31858     32123     31964     32222     32401     32196     32370     32294
1995    32625     32399     32415     32312     32540     32597     32466     32547     32625     32578     32744     32903
1996    33085     32928     33076     33174     33178     33281     33470     33542     33494     33704     33734     33819
1997    34049     33989     34156     34056     33978     33892     34106     34256     34281     34348     34230     34190
1998    34126     34102     34275     34374     34534     34592     34856     34950     34916     35093     35140     35533
1999    35447     35707     35652     36013     36060     35872     36126     36117     36411     36271     36300     37665
2000    35613     35980     36559     37008     36717     37175     37038     37110     37308     37476     37700     38033
2001    37903     38252     38133     38369     38439     38569     38506     38738     38832     38944     39161     38996
2002    38833     38885     38913     38568     38713     38723     38834     38647     38599     38693     38886     39072
2003    39412     39285     39318     39441     39019     39480     39808     39833     39878     39776     39631     39809
2004    40443     39922     40419     40399     40635     40608     40631     40771     41045     41177     41404     41534
2005    41688     41755     41692     42358     42055     42320     42215     42542     42882     42842     42825     43152
2006    42692     43374     43302     43233     43656     43777     43827     44122     43879     44512     44569     44729
2007    44859     45274     45301     44995     45417     45657     45722     45637     45895     46120     46616     46873
2008    46827     46710     46845     47415     47357     47587     47815     47994     47753     47702     47371     46951
2009    47641     46892     46938     47103     47264     47329     47333     47360     47589     47612     47757     48111
2010    47899     48728     48303     48230     48219     47904     47928     48295     48652     48592     49165     49158
2011    49689     50075     50085     50798     50441     50938     50980     51175     51027     51326     51429     51166
2012    51547     51692     52093     52303     52228     52198     52247     52294     52503     52874     52717     52654
2013    52693     53277     53002     52855     53227     53199     53526     53573     53768     53862     53919     54574
2014    54716     54760     54925     55182     55359     55907     55920     56169     56454     56777     56796     57118
2015    57115     57257     57352     57292     57377     57475     57692     57708     57797     57643     57953     57816
2016    58109     58145     57870     58553     58698     58785     58526     58685     58730                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.972     0.941     0.972     0.988     1.031     1.001     1.045     1.014     0.975     1.008     0.980     1.100
1993     0.969     0.901     0.981     0.990     1.024     1.006     1.053     1.003     0.982     0.996     0.982     1.110
1994     0.962     0.900     1.006     0.978     1.011     1.013     1.040     1.012     0.983     0.989     0.986     1.121
1995     0.951     0.900     0.998     0.983     1.020     1.014     1.032     1.022     0.986     0.977     0.993     1.110
1996     0.960     0.935     0.999     0.969     1.036     1.005     1.028     1.039     0.961     0.994     1.009     1.079
1997     0.974     0.899     1.008     0.959     1.045     0.990     1.037     1.028     0.964     1.002     0.997     1.092
1998     0.981     0.900     0.974     0.988     1.034     0.992     1.044     1.012     0.975     1.009     0.984     1.104
1999     0.968     0.901     0.995     0.976     1.027     0.996     1.052     0.999     0.982     0.997     0.987     1.114
2000     0.961     0.932     0.997     0.983     1.025     1.006     1.031     1.017     0.986     0.977     0.998     1.113
2001     0.958     0.904     1.005     0.969     1.035     1.010     1.017     1.024     0.974     0.985     1.000     1.105
2002     0.969     0.905     1.014     0.952     1.043     0.999     1.024     1.033     0.960     0.994     1.016     1.077
2003     0.978     0.906     0.985     0.977     1.051     0.987     1.032     1.021     0.963     1.001     1.003     1.087
2004     0.988     0.931     0.980     0.987     1.032     0.996     1.046     0.996     0.981     0.997     0.991     1.107
2005     0.971     0.907     1.011     0.966     1.021     1.003     1.035     1.007     0.979     0.991     0.998     1.111
2006     0.963     0.907     0.991     0.982     1.027     1.006     1.024     1.015     0.983     0.983     1.002     1.104
2007     0.968     0.907     0.999     0.968     1.036     1.011     1.015     1.022     0.975     0.988     1.004     1.091
2008     0.977     0.943     1.005     0.958     1.047     0.991     1.028     1.021     0.964     1.001     1.007     1.078
2009     0.988     0.908     0.975     0.987     1.040     0.992     1.033     1.012     0.971     1.007     0.993     1.084
2010     0.983     0.909     0.997     0.976     1.030     0.999     1.038     1.003     0.976     1.000     0.994     1.090
2011     0.974     0.910     0.992     0.996     1.021     1.002     1.030     1.007     0.978     0.992     0.999     1.096
2012     0.967     0.945     1.008     0.972     1.033     1.009     1.012     1.021     0.974     0.989     1.003     1.081
2013     0.981     0.912     1.023     0.953     1.038     1.002     1.017     1.026     0.962     0.997     1.014     1.066
2014     0.987     0.912     0.989     0.982     1.044     0.990     1.026     1.020     0.964     1.002     1.005     1.074
2015     0.993     0.912     0.991     0.974     1.037     0.992     1.032     1.010     0.970     1.007     0.991     1.084
2016     0.987     0.939     1.014     0.969     1.019     1.004     1.031     1.006     0.977     0.991     0.998     1.099
2017     0.969     0.912     0.998     0.985     1.025     1.007     1.021     1.014     0.981     0.982     1.002     1.092
2018     0.974     0.912     1.025     0.952     1.034     1.011     1.012     1.020     0.973                              
