FURNITURE & HOME FURNISHING STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     4254      4342      4330      4359      4331      4401      4368      4372      4345      4299      4368      4428
1993     4637      4507      4463      4564      4642      4609      4640      4645      4640      4663      4693      4693
1994     4571      4775      4910      4916      4971      5018      5046      5165      5177      5260      5199      5254
1995     5265      5081      5130      5181      5216      5217      5318      5304      5407      5429      5516      5445
1996     5302      5346      5566      5595      5586      5678      5696      5655      5762      5779      5768      5746
1997     5823      5847      5916      5968      6004      6034      6039      6146      6162      6154      6267      6290
1998     6377      6342      6340      6369      6359      6426      6447      6444      6419      6504      6666      6687
1999     6617      6767      6831      6794      6884      6986      6954      7147      7292      7324      7272      7246
2000     7484      7548      7599      7729      7673      7593      7748      7682      7665      7737      7580      7160
2001     7764      7611      7549      7560      7559      7613      7671      7628      7419      7543      7694      7869
2002     7847      7932      7936      7874      7959      7831      7741      7837      7832      7789      7963      7927
2003     7824      7501      7854      7895      8062      8084      8115      8156      8214      8244      8358      8312
2004     8307      8375      8585      8519      8389      8572      8868      8675      8604      8806      8722      8905
2005     8856      8908      8849      8984      8953      9103      9075      9185      9262      9315      9310      9260
2006     9571      9439      9440      9392      9349      9504      9433      9431      9530      9384      9319      9326
2007     9609      9380      9406      9440      9331      9245      9315      9308      9132      9142      9102      9002
2008     8877      8607      8637      8601      8584      8489      8375      8156      7732      7761      7644      7468
2009     7373      7304      7064      7086      7094      7107      7063      6999      6989      6930      7016      7041
2010     7029      7149      7253      7147      7139      7084      7108      7153      7133      7051      7127      7085
2011     7007      7157      7416      7316      7255      7243      7274      7333      7398      7310      7391      7507
2012     7657      7630      7589      7522      7653      7543      7657      7608      7605      7413      7652      7923
2013     7911      7847      7848      7794      7745      7947      7922      7965      8062      8131      8219      7902
2014     7774      8080      8217      8299      8295      8349      8305      8427      8385      8421      8493      8553
2015     8537      8374      8642      8697      8938      8746      8845      8851      8847      8946      8913      8961
2016     8912      8945      8932      8976      9051      9147      9042      8999      9089                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.904     0.900     0.960     0.950     0.987     0.990     1.009     1.017     0.996     1.046     1.073     1.194
1993     0.885     0.867     0.979     0.958     0.977     0.991     1.009     1.019     0.996     1.024     1.099     1.200
1994     0.879     0.867     0.983     0.956     0.979     0.988     0.987     1.037     1.005     1.013     1.103     1.200
1995     0.883     0.868     0.991     0.930     0.996     0.996     0.976     1.038     1.002     1.014     1.104     1.177
1996     0.903     0.904     0.972     0.949     1.003     0.965     0.996     1.042     0.970     1.033     1.114     1.172
1997     0.912     0.875     0.966     0.950     1.001     0.962     0.998     1.019     0.989     1.035     1.082     1.201
1998     0.913     0.880     0.972     0.948     0.979     0.982     1.003     1.009     0.986     1.029     1.078     1.211
1999     0.895     0.886     0.994     0.954     0.971     0.981     1.001     1.013     0.979     1.002     1.101     1.226
2000     0.887     0.926     1.003     0.923     0.995     0.986     0.969     1.038     0.983     0.991     1.101     1.206
2001     0.908     0.893     1.003     0.918     0.999     0.984     0.972     1.045     0.954     1.008     1.111     1.198
2002     0.911     0.894     0.980     0.936     1.004     0.958     0.991     1.047     0.952     1.009     1.110     1.202
2003     0.919     0.895     0.970     0.934     1.002     0.959     0.995     1.028     0.976     1.013     1.079     1.223
2004     0.921     0.909     0.990     0.938     0.967     0.985     1.003     1.024     0.981     0.990     1.100     1.226
2005     0.893     0.895     0.993     0.937     0.966     0.985     0.987     1.046     0.995     0.978     1.099     1.220
2006     0.898     0.896     0.997     0.911     0.985     0.994     0.980     1.054     0.998     0.978     1.094     1.185
2007     0.916     0.898     1.001     0.906     0.993     0.992     0.987     1.060     0.973     0.992     1.100     1.165
2008     0.920     0.942     0.971     0.934     1.003     0.957     1.015     1.038     0.994     0.995     1.064     1.189
2009     0.923     0.904     0.979     0.934     0.985     0.976     1.021     1.025     0.999     0.991     1.054     1.197
2010     0.902     0.907     1.005     0.944     0.974     0.977     1.022     1.028     0.998     0.966     1.074     1.202
2011     0.893     0.908     1.017     0.944     0.978     0.973     0.997     1.049     1.008     0.954     1.074     1.204
2012     0.897     0.940     1.026     0.914     1.004     0.978     0.986     1.060     0.978     0.979     1.079     1.163
2013     0.922     0.903     1.003     0.937     1.011     0.950     1.005     1.061     0.973     0.990     1.078     1.168
2014     0.926     0.897     0.989     0.941     1.014     0.945     1.011     1.037     0.996     0.999     1.049     1.192
2015     0.925     0.892     0.990     0.942     0.988     0.972     1.017     1.020     1.000     1.003     1.046     1.201
2016     0.902     0.917     1.019     0.949     0.978     0.979     0.995     1.041     1.007     0.969     1.076     1.209
2017     0.890     0.887     1.021     0.922     1.004     0.988     0.983     1.047     1.005     0.971     1.075     1.184
2018     0.908     0.887     1.022     0.916     1.011     0.988     0.985     1.051     0.978                              
