GASOLINE STATIONS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    12803     12601     12639     12710     12870     12886     12966     13092     13246     13304     13358     13475
1993    13398     13596     13487     13539     13521     13461     13502     13372     13416     13755     13754     13627
1994    13656     13875     13911     13867     13773     14059     14322     14685     14649     14709     14878     14885
1995    14915     14963     14921     15021     15215     15333     15249     15227     15194     15007     14981     15246
1996    15479     15457     15951     16252     16488     16352     16075     16066     16088     16360     16602     16759
1997    16938     16984     16969     16613     16367     16378     16396     16682     16757     16711     16638     16536
1998    16225     16054     15703     15798     16057     15933     16087     15851     15812     15948     16014     16399
1999    16394     16309     16529     17115     17186     17070     17704     18135     18339     18632     18992     20095
2000    19358     20214     20819     19907     20242     20885     20905     20574     21327     21412     21906     22124
2001    21931     21615     20652     21618     22628     21928     20686     20878     21336     20033     19245     18950
2002    19130     19068     19813     20856     20930     20733     21438     21182     21272     21659     22009     22464
2003    23073     23885     23968     22581     21810     21777     22196     23073     23214     22714     23472     23994
2004    24889     25256     25679     25518     27011     27050     26745     26552     27161     28656     29349     29046
2005    28438     29015     29528     29950     29113     29917     30976     33368     36008     36088     33185     33119
2006    34298     34174     34126     35752     36126     36127     37064     37765     34865     33010     33393     34858
2007    34168     34973     35963     36386     38031     37207     36996     37155     38327     39425     41897     41637
2008    42425     42411     43140     43025     44313     46429     46869     45701     45747     40640     31890     27952
2009    28768     29910     28811     28848     30507     33241     33057     34781     34868     34955     36655     37232
2010    37372     37009     37184     37208     36700     35761     35778     36261     37423     38534     39269     41172
2011    41731     42226     43654     44506     45191     44501     44638     45047     44935     44755     45596     45142
2012    45673     47216     47358     47023     45918     43711     43467     46411     47115     48015     46690     45827
2013    45932     48776     47161     45760     45212     45471     45384     44847     45035     44381     43963     45909
2014    46399     46816     46041     46317     45976     44973     44563     44416     44220     43305     42282     39199
2015    35384     36453     36644     36211     37208     37727     37470     36771     35048     34517     33834     33703
2016    32653     30967     32113     32984     33538     34273     33530     33062     33860                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.945     0.919     0.971     0.979     1.045     1.042     1.070     1.056     0.992     1.027     0.978     1.001
1993     0.935     0.887     0.976     0.988     1.042     1.040     1.070     1.056     0.997     1.015     0.983     1.008
1994     0.931     0.886     0.981     0.984     1.042     1.047     1.057     1.062     1.005     1.010     0.977     1.008
1995     0.930     0.883     0.989     0.974     1.048     1.057     1.053     1.065     1.000     1.010     0.980     0.996
1996     0.935     0.916     0.979     0.986     1.057     1.037     1.060     1.075     0.993     1.019     0.978     0.989
1997     0.942     0.878     0.976     0.985     1.058     1.041     1.066     1.063     1.002     1.027     0.962     0.990
1998     0.939     0.876     0.978     0.993     1.045     1.050     1.075     1.061     1.003     1.029     0.960     0.983
1999     0.922     0.875     0.986     1.005     1.042     1.050     1.080     1.063     1.012     1.018     0.960     0.978
2000     0.914     0.905     1.000     0.993     1.048     1.065     1.065     1.076     1.016     1.014     0.954     0.954
2001     0.916     0.876     1.007     1.002     1.054     1.060     1.067     1.085     1.002     1.020     0.958     0.941
2002     0.915     0.876     1.001     1.012     1.062     1.045     1.072     1.092     1.005     1.028     0.949     0.932
2003     0.919     0.873     0.996     1.011     1.068     1.047     1.081     1.082     1.008     1.041     0.935     0.933
2004     0.915     0.893     0.997     1.027     1.058     1.050     1.095     1.082     1.007     1.031     0.943     0.940
2005     0.899     0.861     0.995     1.020     1.070     1.065     1.094     1.085     1.007     1.013     0.942     0.944
2006     0.898     0.856     0.993     1.007     1.080     1.083     1.095     1.087     0.999     1.006     0.945     0.937
2007     0.905     0.851     0.990     1.008     1.088     1.088     1.100     1.087     0.983     1.000     0.950     0.937
2008     0.912     0.887     0.979     1.015     1.095     1.079     1.104     1.074     0.988     1.000     0.937     0.944
2009     0.923     0.857     0.988     1.021     1.081     1.082     1.100     1.064     0.986     1.003     0.938     0.948
2010     0.915     0.863     1.003     1.031     1.069     1.070     1.093     1.064     0.994     0.999     0.944     0.949
2011     0.910     0.867     1.014     1.028     1.065     1.065     1.077     1.070     1.009     1.006     0.941     0.946
2012     0.906     0.894     1.022     1.014     1.072     1.064     1.074     1.082     1.002     1.020     0.951     0.928
2013     0.906     0.861     1.005     1.014     1.077     1.054     1.084     1.090     1.008     1.032     0.949     0.925
2014     0.904     0.854     0.990     1.004     1.081     1.061     1.095     1.087     1.019     1.038     0.939     0.930
2015     0.902     0.849     0.982     1.000     1.075     1.080     1.108     1.082     1.015     1.041     0.942     0.935
2016     0.891     0.875     0.976     0.996     1.077     1.087     1.101     1.089     1.024     1.023     0.946     0.940
2017     0.885     0.845     0.980     0.991     1.082     1.093     1.096     1.093     1.018     1.023     0.951     0.932
2018     0.887     0.845     0.980     0.991     1.087     1.089     1.097     1.096     1.007                              
