GENERAL MERCHANDISE STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    19879     20202     20168     20258     20345     20298     20205     20593     20684     20851     21078     21752
1993    21383     21392     21273     21759     21993     21957     22343     22315     22429     22647     22760     22905
1994    22706     23070     23657     23354     23271     23626     23635     23889     23995     24255     24356     24583
1995    24936     24115     24579     24747     24851     25166     25375     25174     25469     25135     25414     25554
1996    25215     25616     25576     26103     26216     26085     26209     26441     26590     26904     26772     27051
1997    27216     27262     27304     27179     27328     27433     27949     27939     27868     28155     28151     28008
1998    28402     28748     28714     29123     29076     29170     29113     29274     29559     29720     30094     30129
1999    30664     31094     31390     31009     31165     31652     31549     31806     32152     32085     32161     33101
2000    32179     32576     33105     32879     33339     33408     33586     33823     34146     34280     34458     34734
2001    35601     34655     34069     35364     35202     35114     35720     35915     35822     36229     36656     37054
2002    36811     36974     37144     37491     37114     37417     37132     37202     37059     37816     37698     37716
2003    37740     38030     38391     38321     38483     38866     39404     40085     39896     39649     39945     40084
2004    40436     40519     41079     40662     41332     40756     41197     41323     41555     42042     42179     42656
2005    42582     43117     42977     43644     43481     44322     44037     44243     44439     45252     45202     44816
2006    45647     45760     45531     46217     45777     45904     45849     46098     46695     46690     46736     47436
2007    47899     47319     48125     47779     47893     47901     48409     48605     48372     48476     48956     49388
2008    48843     48917     49056     49527     50308     50804     50551     50066     49464     49191     49573     48898
2009    49242     49241     48919     48869     49096     48809     48741     49025     49193     49722     49149     49698
2010    49904     50484     50393     50377     49964     49975     49952     50247     50223     50358     51340     50854
2011    50854     51344     51574     52140     51830     52295     52182     52127     52575     52469     52601     52500
2012    53186     53605     53745     53260     53224     53214     53348     53514     53466     53632     53442     53660
2013    54088     54281     54283     54067     54216     54317     54448     54446     54579     54750     54634     54440
2014    54298     54993     55208     55869     55710     55677     55800     56193     55686     55810     55992     55738
2015    56256     55540     56144     55547     56334     56189     56343     56336     56562     56193     56162     56415
2016    55969     55781     55983     56086     55810     55931     55597     55350     55140                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.753     0.796     0.889     0.934     0.989     0.931     0.922     0.996     0.905     1.006     1.189     1.709
1993     0.753     0.766     0.890     0.936     0.981     0.939     0.928     0.982     0.919     1.001     1.175     1.727
1994     0.748     0.768     0.913     0.918     0.967     0.958     0.929     0.984     0.922     0.991     1.175     1.717
1995     0.742     0.773     0.911     0.931     0.971     0.965     0.929     0.991     0.922     0.974     1.182     1.689
1996     0.749     0.812     0.919     0.912     0.996     0.963     0.921     1.009     0.909     0.980     1.174     1.632
1997     0.776     0.791     0.937     0.900     1.003     0.960     0.930     1.003     0.899     0.991     1.159     1.612
1998     0.788     0.800     0.910     0.940     1.002     0.953     0.942     0.993     0.903     0.989     1.146     1.604
1999     0.795     0.807     0.934     0.930     0.997     0.958     0.946     0.977     0.914     0.980     1.131     1.610
2000     0.799     0.834     0.943     0.945     0.985     0.972     0.939     0.986     0.912     0.957     1.148     1.592
2001     0.799     0.821     0.948     0.943     0.989     0.969     0.933     1.003     0.903     0.958     1.144     1.563
2002     0.814     0.832     0.971     0.913     1.001     0.963     0.939     1.006     0.894     0.966     1.135     1.523
2003     0.835     0.844     0.942     0.940     1.003     0.958     0.948     1.000     0.886     0.983     1.123     1.504
2004     0.848     0.884     0.932     0.958     0.994     0.955     0.965     0.975     0.904     0.983     1.099     1.517
2005     0.850     0.860     0.962     0.937     0.984     0.971     0.961     0.973     0.907     0.975     1.100     1.505
2006     0.847     0.863     0.951     0.958     0.989     0.977     0.956     0.980     0.911     0.958     1.111     1.483
2007     0.855     0.865     0.961     0.944     1.000     0.981     0.945     0.995     0.909     0.955     1.113     1.454
2008     0.864     0.905     0.976     0.918     1.021     0.971     0.954     0.997     0.895     0.973     1.108     1.416
2009     0.881     0.879     0.944     0.954     1.018     0.963     0.967     0.993     0.899     0.977     1.097     1.408
2010     0.877     0.888     0.967     0.945     1.008     0.966     0.971     0.981     0.913     0.974     1.084     1.410
2011     0.871     0.894     0.965     0.964     0.991     0.977     0.970     0.984     0.919     0.969     1.087     1.402
2012     0.859     0.929     0.988     0.949     0.998     0.981     0.951     1.006     0.920     0.959     1.104     1.376
2013     0.866     0.895     1.009     0.918     1.013     0.977     0.954     1.013     0.916     0.968     1.106     1.351
2014     0.878     0.890     0.975     0.942     1.021     0.969     0.962     1.012     0.910     0.982     1.103     1.351
2015     0.881     0.884     0.971     0.950     1.015     0.959     0.975     1.003     0.907     0.987     1.095     1.361
2016     0.877     0.906     0.989     0.944     0.994     0.974     0.981     0.990     0.918     0.977     1.089     1.385
2017     0.857     0.877     0.978     0.967     1.000     0.981     0.975     0.995     0.919     0.964     1.103     1.381
2018     0.857     0.877     1.006     0.935     1.007     0.983     0.962     1.008     0.914                              
