GROCERY STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    27835     27720     27848     27867     27987     28011     28183     28222     28122     28328     28184     28233
1993    28220     28419     28307     28367     28386     28377     28554     28357     28478     28618     28625     28773
1994    28722     28923     28914     29111     29025     29311     29149     29410     29545     29343     29520     29443
1995    29791     29604     29619     29499     29763     29812     29675     29721     29735     29692     29858     29994
1996    30105     29990     30125     30220     30245     30288     30493     30555     30565     30766     30768     30879
1997    31030     30991     31109     31065     30987     30804     31022     31160     31171     31225     31125     31063
1998    30989     30915     31123     31169     31358     31435     31673     31744     31702     31864     31920     32291
1999    32225     32465     32419     32700     32776     32633     32891     32878     33121     32968     32972     34270
2000    32239     32567     33117     33541     33221     33644     33479     33554     33729     33867     34071     34558
2001    34229     34602     34477     34727     34781     34866     34792     35043     35152     35270     35414     35208
2002    35130     35114     35160     34827     34941     34933     35044     34874     34865     34990     35157     35257
2003    35669     35570     35549     35638     35225     35676     35957     35890     35918     35763     35679     35808
2004    36402     35890     36365     36312     36528     36508     36526     36680     36951     37078     37286     37423
2005    37628     37553     37534     38128     37871     38105     37997     38320     38616     38559     38508     38811
2006    38254     38889     38944     38852     39242     39372     39411     39666     39396     39961     39989     40153
2007    40253     40646     40612     40416     40701     40911     41004     40954     41137     41379     41868     42038
2008    42117     42016     42127     42629     42549     42682     42859     43064     42834     42766     42495     42134
2009    42771     42055     42069     42245     42340     42486     42479     42442     42690     42763     42851     43151
2010    43029     43735     43303     43186     43263     42920     43010     43258     43601     43492     44076     44182
2011    44682     44961     45069     45723     45366     45791     45841     46035     45839     46047     46184     46032
2012    46246     46399     46751     46926     46826     46840     46909     47012     47132     47453     47267     47147
2013    47224     47701     47492     47402     47735     47717     47968     47992     48185     48283     48324     48859
2014    48995     49065     49194     49431     49609     49984     50060     50303     50581     50854     50839     51070
2015    51076     51238     51270     51218     51303     51361     51569     51553     51638     51523     51821     51666
2016    52011     51946     51707     52372     52453     52535     52241     52411     52508                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.981     0.946     0.978     0.990     1.032     1.001     1.046     1.015     0.977     1.009     0.980     1.073
1993     0.977     0.906     0.986     0.991     1.025     1.007     1.053     1.004     0.984     0.997     0.981     1.082
1994     0.971     0.905     1.012     0.980     1.013     1.014     1.041     1.013     0.985     0.991     0.985     1.092
1995     0.961     0.904     1.003     0.986     1.021     1.014     1.033     1.024     0.988     0.979     0.992     1.082
1996     0.969     0.940     1.004     0.971     1.037     1.006     1.029     1.039     0.965     0.997     1.008     1.051
1997     0.984     0.903     1.013     0.961     1.046     0.991     1.039     1.028     0.967     1.003     0.997     1.062
1998     0.990     0.904     0.980     0.989     1.035     0.993     1.044     1.015     0.978     1.011     0.983     1.074
1999     0.978     0.906     1.001     0.977     1.029     0.998     1.051     1.002     0.985     0.999     0.986     1.081
2000     0.972     0.937     1.003     0.984     1.026     1.007     1.031     1.020     0.988     0.980     0.997     1.078
2001     0.971     0.910     1.011     0.970     1.037     1.010     1.018     1.025     0.978     0.988     0.997     1.071
2002     0.983     0.912     1.020     0.953     1.044     1.000     1.024     1.033     0.964     0.997     1.014     1.042
2003     0.992     0.912     0.992     0.978     1.052     0.987     1.032     1.021     0.966     1.003     1.003     1.052
2004     1.002     0.939     0.987     0.988     1.033     0.996     1.045     0.998     0.984     0.998     0.989     1.071
2005     0.988     0.913     1.018     0.968     1.023     1.003     1.034     1.008     0.980     0.992     0.996     1.076
2006     0.980     0.913     0.997     0.985     1.028     1.005     1.024     1.017     0.984     0.984     1.000     1.069
2007     0.985     0.914     1.005     0.971     1.037     1.009     1.015     1.023     0.977     0.989     1.001     1.058
2008     0.994     0.950     1.011     0.961     1.047     0.991     1.028     1.022     0.966     1.001     1.006     1.045
2009     1.004     0.916     0.982     0.989     1.040     0.992     1.032     1.013     0.973     1.006     0.992     1.052
2010     0.999     0.916     1.003     0.978     1.031     0.999     1.036     1.004     0.978     1.001     0.992     1.056
2011     0.991     0.917     1.000     0.997     1.021     1.002     1.029     1.009     0.979     0.993     0.997     1.061
2012     0.983     0.952     1.014     0.975     1.034     1.008     1.012     1.022     0.977     0.990     1.001     1.047
2013     0.997     0.919     1.029     0.956     1.038     1.001     1.017     1.027     0.965     1.000     1.012     1.031
2014     1.003     0.919     0.996     0.985     1.043     0.989     1.026     1.020     0.966     1.004     1.004     1.038
2015     1.009     0.919     0.998     0.978     1.037     0.992     1.030     1.011     0.973     1.009     0.991     1.048
2016     1.003     0.947     1.020     0.973     1.020     1.004     1.029     1.007     0.978     0.993     0.997     1.062
2017     0.986     0.919     1.004     0.989     1.026     1.006     1.020     1.015     0.982     0.984     1.001     1.056
2018     0.991     0.919     1.031     0.957     1.035     1.010     1.011     1.020     0.976                              
