HEALTH & PERSONAL CARE STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     7421      7425      7443      7516      7458      7417      7292      7508      7420      7535      7497      7526
1993     7518      7651      7605      7683      7666      7680      7756      7678      7772      7758      7784      7989
1994     7865      7729      7911      7838      7955      8014      8084      8126      8190      8214      8190      8287
1995     8306      8304      8304      8450      8424      8482      8431      8488      8611      8584      8691      8761
1996     8546      8782      8991      8922      9076      9072      9134      9237      9190      9363      9414      9505
1997     9448      9649      9922      9578      9722      9916      9950      9989     10077     10058     10217     10201
1998    10382     10406     10393     10620     10645     10672     10828     11019     10985     11106     11232     11311
1999    11415     11498     11595     11619     11741     11837     11857     11848     11993     12155     12258     12801
2000    12381     12386     12580     12733     12814     12864     12967     13034     13233     13302     13340     13527
2001    13413     13582     13650     13643     13812     13843     13879     14004     13894     14298     14280     14350
2002    14525     14747     14745     14940     14903     14947     15004     15120     15288     15298     15348     15293
2003    15441     15534     15677     15705     15791     15934     16182     16345     16339     16434     16500     16648
2004    16287     16133     16526     16476     16462     16570     16554     16610     16635     16739     16813     16882
2005    17116     17292     17229     17350     17430     17392     17617     17548     17707     17742     17841     18005
2006    18018     18124     18222     18294     18483     18584     18640     18757     18894     19064     19276     19367
2007    19423     19401     19521     19592     19650     19860     19851     20034     20068     19988     19958     19844
2008    20119     20277     20266     20188     20510     20512     20633     20676     20561     20628     20758     20674
2009    20764     20896     20917     21046     21109     21064     20993     20993     21261     21262     21296     21181
2010    21149     21182     21327     21475     21361     21642     21714     21799     21913     22106     22178     22267
2011    22576     22425     22558     22399     22603     22581     22680     22776     22742     22809     22742     22682
2012    22868     22989     22961     23016     22881     22449     22795     22790     22590     22512     22715     22948
2013    23150     23107     23113     23131     23205     23228     23498     23562     23920     24028     24042     24109
2014    24028     24250     24328     24643     24971     25199     25182     25380     25333     25360     25471     25624
2015    25690     25506     25531     25665     25641     25828     25965     26078     26658     26470     26618     26773
2016    26540     27129     27390     27633     27771     28091     28197     28239     28108                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.978     0.963     0.996     1.002     1.004     0.996     0.998     0.974     0.953     0.991     0.949     1.227
1993     0.954     0.933     1.015     1.005     1.002     0.995     0.989     0.982     0.952     0.973     0.967     1.231
1994     0.955     0.933     1.020     0.990     1.010     0.996     0.971     1.000     0.955     0.970     0.968     1.219
1995     0.963     0.932     1.019     0.974     1.029     1.000     0.969     0.998     0.948     0.977     0.970     1.191
1996     0.983     0.969     0.997     0.998     1.032     0.972     0.994     0.994     0.937     0.992     0.970     1.189
1997     0.985     0.935     1.004     0.990     1.025     0.981     0.991     0.978     0.953     0.997     0.951     1.199
1998     0.981     0.938     1.005     0.999     1.008     0.998     0.994     0.976     0.952     0.990     0.962     1.187
1999     0.965     0.941     1.031     0.998     1.007     0.994     0.985     0.983     0.953     0.974     0.980     1.181
2000     0.966     0.981     1.030     0.976     1.033     0.996     0.966     0.999     0.952     0.982     0.978     1.141
2001     0.993     0.947     1.025     0.987     1.030     0.987     0.974     1.003     0.933     1.001     0.980     1.127
2002     0.996     0.949     1.020     0.995     1.033     0.965     0.992     0.996     0.944     1.000     0.973     1.124
2003     1.006     0.951     1.011     1.002     1.024     0.973     0.989     0.979     0.962     1.005     0.952     1.136
2004     1.003     0.970     1.039     1.004     1.004     0.989     0.985     0.986     0.961     0.981     0.979     1.133
2005     0.985     0.951     1.048     0.986     1.012     0.989     0.966     1.004     0.966     0.980     0.979     1.121
2006     0.993     0.950     1.044     0.971     1.030     0.993     0.966     1.003     0.958     0.991     0.980     1.097
2007     1.009     0.950     1.036     0.983     1.027     0.984     0.976     1.006     0.940     1.011     0.984     1.093
2008     1.004     0.989     1.024     0.993     1.019     0.977     0.990     0.979     0.972     1.012     0.955     1.120
2009     0.996     0.949     1.029     1.000     0.998     0.995     0.992     0.980     0.969     1.003     0.967     1.115
2010     0.979     0.949     1.053     0.999     0.998     0.991     0.982     0.990     0.971     0.985     0.985     1.119
2011     0.983     0.948     1.046     0.992     1.006     0.990     0.963     1.008     0.974     0.986     0.981     1.112
2012     0.994     0.983     1.038     0.982     1.021     0.981     0.972     1.008     0.946     1.015     0.983     1.097
2013     1.010     0.945     1.023     0.993     1.022     0.960     0.990     1.000     0.960     1.012     0.973     1.113
2014     1.010     0.943     1.016     0.995     1.011     0.972     0.988     0.981     0.981     1.015     0.953     1.137
2015     0.998     0.942     1.026     0.994     0.992     0.993     0.994     0.986     0.978     1.005     0.966     1.135
2016     0.977     0.979     1.044     0.983     1.002     0.993     0.968     1.015     0.981     0.986     0.979     1.124
2017     0.983     0.938     1.039     0.968     1.021     0.997     0.970     1.013     0.971     0.995     0.979     1.102
2018     1.000     0.938     1.035     0.976     1.018     0.988     0.980     1.016     0.951                              
