MISCELLANEOUS STORES RETAILERS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     4318      4308      4292      4391      4356      4357      4468      4494      4549      4809      5059      5059
1993     5352      4896      4811      5033      4967      5153      5064      5115      5222      5432      5159      5377
1994     5288      5282      5593      5464      5756      5739      5933      6012      6092      6048      6074      6021
1995     5955      6097      6134      6265      6372      6288      6398      6502      6413      6419      6520      6566
1996     6202      6339      6473      6772      7128      7050      7018      6918      7011      7110      7154      7144
1997     7295      7539      7459      7417      7181      7474      7464      7562      7664      7704      7707      7845
1998     8070      7948      7957      7916      8037      8064      8240      8334      8378      8444      8448      8622
1999     8454      8615      8503      8590      8585      8481      8350      8519      8597      8661      9058      9489
2000     9136      9163      9189      9056      8760      8785      8789      8666      8925      8870      8829      8631
2001     8466      8665      8897      8527      8752      8693      8671      8691      8377      8456      8548      8432
2002     8447      8616      8380      8579      8539      8639      8575      8740      8724      8579      8362      8569
2003     8565      8372      8405      8359      8525      8537      8497      8618      8442      8591      8530      8576
2004     8665      8481      8552      8685      8869      8446      8554      8567      8596      8677      8877      8914
2005     8795      8954      8826      8883      8923      8896      8938      8864      9008      9093      9132      9061
2006     9579      9522      9446      9497      9472      9320      9307      9283      9373      9470      9606      9892
2007     9597      9500      9797      9580      9843      9987      9735      9737      9809      9595      9656      9691
2008    10058      9370      9334      9316      9317      9330      9566      9155      9049      8932      8639      8555
2009     8509      8742      8640      8680      8441      8438      8365      8324      8364      8370      8421      8573
2010     8363      8233      8676      8594      8664      8786      8613      8593      8809      8944      8882      8890
2011     8821      9080      8859      9035      9006      9083      9168      9167      9175      9075      9072      8827
2012     9248      9379      9193      9198      8968      9065      9135      9071      9152      9113      9204      9297
2013     9211      9256      9353      9374      9466      9303      9221      9309      9595      9497      9511      9346
2014     9310      9425      9586      9450      9533      9664      9676      9808      9823      9997      9845      9913
2015    10059      9963      9906      9994     10062     10117     10261     10404     10038      9992     10166     10058
2016    10255     10213     10424     10680     10548     10514     10506     10415     10605                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.850     0.897     0.896     0.951     1.053     1.034     1.013     1.012     0.986     0.986     0.958     1.398
1993     0.825     0.873     0.912     0.959     1.043     1.037     1.007     1.030     0.981     0.961     0.983     1.386
1994     0.819     0.878     0.926     0.946     1.060     1.034     0.984     1.047     0.990     0.948     0.981     1.361
1995     0.839     0.887     0.936     0.923     1.074     1.041     0.973     1.054     0.977     0.962     0.977     1.312
1996     0.861     0.937     0.922     0.953     1.073     0.997     1.002     1.041     0.957     0.986     0.976     1.306
1997     0.879     0.912     0.925     0.955     1.056     0.995     1.004     1.009     0.981     0.987     0.961     1.318
1998     0.883     0.922     0.953     0.951     1.020     1.015     0.993     0.993     0.981     0.986     0.975     1.324
1999     0.872     0.927     0.976     0.958     1.001     1.008     0.980     1.009     0.976     0.971     1.009     1.317
2000     0.868     0.971     0.983     0.920     1.033     1.007     0.944     1.039     0.969     0.984     1.011     1.273
2001     0.905     0.923     0.971     0.924     1.046     0.991     0.960     1.041     0.944     1.006     1.020     1.253
2002     0.918     0.917     0.943     0.948     1.053     0.967     0.977     1.038     0.948     1.019     1.006     1.264
2003     0.921     0.912     0.927     0.948     1.055     0.974     0.989     1.015     0.976     1.020     0.980     1.272
2004     0.917     0.924     0.957     0.952     1.028     1.009     0.983     1.021     0.977     0.992     1.011     1.264
2005     0.896     0.902     0.963     0.939     1.052     1.009     0.964     1.034     0.992     0.986     1.009     1.235
2006     0.907     0.898     0.967     0.915     1.073     1.031     0.960     1.040     0.985     1.004     1.002     1.191
2007     0.911     0.893     0.965     0.922     1.082     1.033     0.980     1.040     0.965     1.026     1.005     1.165
2008     0.906     0.932     0.939     0.947     1.076     1.024     1.008     1.012     1.000     1.040     0.960     1.187
2009     0.887     0.896     0.957     0.949     1.051     1.053     1.013     1.005     1.003     1.039     0.961     1.184
2010     0.859     0.900     0.973     0.961     1.038     1.053     1.010     1.023     1.003     1.023     0.982     1.177
2011     0.848     0.902     0.980     0.951     1.053     1.045     0.991     1.044     1.012     1.019     0.983     1.163
2012     0.861     0.928     0.975     0.933     1.078     1.036     0.999     1.059     0.974     1.056     0.992     1.121
2013     0.882     0.887     0.953     0.954     1.084     1.008     1.017     1.059     0.978     1.067     0.980     1.132
2014     0.884     0.877     0.942     0.954     1.079     1.015     1.029     1.043     1.000     1.069     0.957     1.148
2015     0.880     0.870     0.955     0.957     1.061     1.043     1.043     1.026     1.002     1.061     0.963     1.154
2016     0.861     0.892     0.977     0.956     1.070     1.053     1.011     1.058     1.007     1.024     0.982     1.140
2017     0.857     0.860     0.980     0.938     1.093     1.058     1.001     1.065     0.993     1.038     0.979     1.114
2018     0.870     0.860     0.975     0.946     1.101     1.044     1.016     1.065     0.969                              
