MOTOR VEHICLE & PARTS DEALERS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    33478     33817     33336     33776     34357     34781     35199     34585     35890     35972     35928     36272
1993    37621     36723     35955     38521     39006     38892     40290     40504     40203     40857     42077     42796
1994    42660     43685     44475     45072     44098     44541     44477     45232     46314     47041     47203     46941
1995    47224     45902     46681     47056     47718     49652     48832     49748     49188     49271     49863     50163
1996    50349     52288     52348     51531     52200     51798     52004     51472     53184     53450     52710     52835
1997    54010     54601     54233     53861     52191     54066     55255     55488     55334     54856     55314     55763
1998    55494     54841     56135     57464     57882     59264     56320     54997     57196     59294     59817     60473
1999    60535     61260     61641     62150     63211     63452     64509     65713     65150     64519     66269     65909
2000    67679     69085     68433     65812     65781     66638     65205     65311     66850     66208     64645     63524
2001    65926     66188     65671     66933     67039     66710     66067     66350     63929     80455     72413     68220
2002    67665     68168     66570     68251     65062     67354     69944     72204     68066     67553     67931     69794
2003    69673     66535     68628     69580     69660     70325     71049     72919     71184     69817     71738     70103
2004    69270     71093     72137     69960     72821     68991     71238     71365     74729     73858     73407     75387
2005    72484     73699     73421     74243     73219     79501     81752     73680     70615     67948     73135     73332
2006    77089     74033     74834     74623     73969     75363     76041     74983     74585     75452     75984     75585
2007    75570     75765     75771     75937     77040     74805     74926     76486     77244     77566     75914     73501
2008    73866     72201     71303     70481     69175     67163     64255     65022     62420     56584     54995     54085
2009    55885     54155     53218     53348     54147     56578     57698     62262     53429     56488     57408     56915
2010    56980     55839     60992     61717     61699     61336     62498     62387     63045     64919     65480     65265
2011    66429     67351     67447     66812     65901     66616     66565     65659     68750     69880     70146     71601
2012    71640     72613     72824     72809     73425     72616     72995     73731     75318     74761     75918     77079
2013    77652     78674     76934     78843     79311     81010     81253     81007     79966     81210     82026     81498
2014    79067     81221     83908     84989     85412     85372     85771     86772     86180     86598     87677     87386
2015    88260     86062     89780     89748     91043     90764     90733     91403     92393     92381     92885     93020
2016    92028     92638     89724     92026     91724     92144     93993     93681     94683                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.893     0.924     1.055     1.068     1.062     1.104     1.074     1.025     0.999     1.021     0.899     0.911
1993     0.858     0.893     1.092     1.066     1.061     1.105     1.067     1.030     1.002     0.986     0.927     0.911
1994     0.857     0.897     1.098     1.056     1.067     1.107     1.029     1.069     1.001     0.982     0.924     0.904
1995     0.860     0.903     1.104     1.017     1.106     1.105     1.023     1.075     0.993     0.984     0.923     0.873
1996     0.891     0.948     1.063     1.050     1.114     1.060     1.059     1.078     0.961     1.015     0.913     0.875
1997     0.896     0.918     1.063     1.046     1.111     1.063     1.058     1.046     0.991     1.013     0.878     0.903
1998     0.896     0.926     1.066     1.044     1.075     1.095     1.061     1.050     0.991     1.004     0.878     0.906
1999     0.867     0.931     1.099     1.044     1.073     1.093     1.060     1.056     0.993     0.967     0.904     0.913
2000     0.868     0.968     1.096     1.002     1.110     1.096     1.031     1.100     0.986     0.964     0.904     0.886
2001     0.898     0.928     1.087     1.005     1.109     1.090     1.045     1.105     0.955     0.989     0.901     0.894
2002     0.895     0.923     1.047     1.037     1.109     1.056     1.092     1.102     0.958     0.983     0.893     0.909
2003     0.890     0.916     1.047     1.040     1.102     1.061     1.104     1.065     0.986     0.977     0.860     0.952
2004     0.881     0.917     1.090     1.047     1.064     1.093     1.106     1.070     0.985     0.932     0.889     0.962
2005     0.854     0.908     1.098     1.046     1.069     1.075     1.073     1.102     0.983     0.936     0.887     0.963
2006     0.852     0.911     1.105     1.021     1.102     1.070     1.064     1.107     0.979     0.933     0.889     0.940
2007     0.880     0.915     1.106     1.017     1.106     1.067     1.055     1.106     0.952     0.960     0.887     0.940
2008     0.891     0.956     1.075     1.046     1.101     1.033     1.085     1.071     0.968     0.969     0.869     0.967
2009     0.896     0.924     1.074     1.049     1.067     1.052     1.080     1.064     0.975     0.969     0.870     0.979
2010     0.874     0.928     1.106     1.043     1.058     1.054     1.072     1.058     0.978     0.944     0.897     0.987
2011     0.872     0.930     1.114     1.042     1.052     1.054     1.041     1.086     0.972     0.942     0.911     0.989
2012     0.867     0.970     1.114     1.011     1.088     1.047     1.031     1.095     0.947     0.966     0.918     0.962
2013     0.893     0.927     1.084     1.033     1.093     1.020     1.059     1.094     0.944     0.971     0.921     0.960
2014     0.891     0.924     1.078     1.037     1.093     1.017     1.066     1.068     0.967     0.973     0.901     0.988
2015     0.886     0.919     1.069     1.040     1.064     1.037     1.071     1.064     0.976     0.971     0.898     0.993
2016     0.861     0.952     1.103     1.039     1.057     1.047     1.043     1.091     0.979     0.944     0.925     0.995
2017     0.856     0.919     1.106     1.011     1.085     1.043     1.040     1.095     0.981     0.941     0.928     0.970
2018     0.881     0.919     1.103     1.007     1.089     1.043     1.038     1.098     0.957                              
