NONSTORE RETAILERS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     6515      6110      6018      6327      6550      6653      6891      6766      6714      6665      6610      6597
1993     6644      6780      7009      6868      7309      6858      7046      6999      7486      7343      7561      7438
1994     7720      7681      7853      7941      7859      8074      8077      8241      8106      8306      8092      8237
1995     8182      8307      8216      8365      8518      8429      8499      8699      8842      8702      9170      9543
1996     9038      9400      9606      9632      9519      9610      9550      9468      9889     10025     10390     10765
1997    10006     10350     10488     10642     10547     10643     10836     10432     10669     10529     10675     10490
1998    10390     10626     10844     10992     11189     11103     11580     11375     11302     11577     11553     11459
1999    11720     11821     12052     12345     12558     12558     12742     12965     13196     13127     13110     13528
2000    13855     14241     14261     14458     14539     14949     15037     15280     15775     15698     15883     16538
2001    15505     15223     15354     15289     14876     14981     14964     15214     14473     14979     14837     14810
2002    15091     15054     15345     15675     15850     15725     16018     15881     15725     15977     16416     16497
2003    16434     16933     16764     16593     16722     16938     17049     17312     17595     17778     17881     17742
2004    18275     18566     18072     18442     18351     18649     18927     19178     19472     19675     19789     19942
2005    20308     20156     20398     20859     20560     21088     20996     21738     21903     22271     22415     22797
2006    22611     23091     23811     23337     23807     23735     23722     24139     24066     24207     24320     24269
2007    24338     25572     25127     25378     25310     25401     25852     25693     25999     26230     26992     26523
2008    26246     26164     26422     27490     27482     27413     27672     27170     27026     26284     25216     24990
2009    25307     25453     24957     25063     25120     25675     26021     26108     26150     26559     26756     27181
2010    27488     27418     27781     27786     27890     28425     28114     28714     28912     28961     28960     29818
2011    30893     30263     30516     30757     31005     31309     31270     31714     31377     32680     32861     32560
2012    32440     33045     32977     33251     33822     33675     34120     34413     34703     34654     35262     35229
2013    35673     35635     35420     35588     35529     35771     35958     36102     35998     35994     36738     37678
2014    36807     37628     38755     38300     38705     39531     39200     39441     39405     39911     40196     40081
2015    39919     40722     41020     41031     41159     41271     41868     42032     42482     42782     42814     43026
2016    43618     44080     44410     45674     46510     46572     46880     46835     46990                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     1.058     0.985     1.053     0.951     0.888     0.867     0.850     0.862     0.956     1.087     1.169     1.317
1993     1.005     0.969     1.073     0.960     0.885     0.865     0.833     0.888     0.956     1.056     1.206     1.317
1994     0.996     0.966     1.077     0.934     0.913     0.869     0.812     0.904     0.966     1.048     1.203     1.292
1995     1.019     0.961     1.074     0.910     0.932     0.886     0.813     0.909     0.939     1.078     1.198     1.257
1996     1.030     0.998     1.022     0.961     0.939     0.847     0.862     0.893     0.938     1.098     1.167     1.287
1997     1.028     0.947     1.017     0.956     0.925     0.879     0.875     0.874     0.966     1.091     1.122     1.306
1998     1.007     0.942     1.048     0.955     0.904     0.913     0.883     0.878     0.966     1.061     1.133     1.306
1999     0.985     0.940     1.069     0.963     0.903     0.914     0.871     0.915     0.964     1.025     1.147     1.301
2000     0.989     0.985     1.073     0.911     0.950     0.921     0.846     0.947     0.945     1.044     1.125     1.241
2001     1.048     0.943     1.051     0.934     0.953     0.893     0.873     0.952     0.918     1.059     1.122     1.240
2002     1.060     0.947     1.022     0.962     0.949     0.868     0.891     0.938     0.939     1.060     1.081     1.286
2003     1.060     0.949     1.016     0.959     0.930     0.888     0.897     0.916     0.962     1.056     1.045     1.319
2004     1.036     0.967     1.064     0.965     0.902     0.912     0.881     0.944     0.954     1.003     1.099     1.330
2005     1.003     0.950     1.061     0.936     0.933     0.915     0.863     0.963     0.961     0.994     1.093     1.308
2006     1.029     0.948     1.053     0.911     0.952     0.928     0.867     0.970     0.931     1.018     1.091     1.280
2007     1.044     0.945     1.024     0.933     0.960     0.907     0.900     0.970     0.906     1.027     1.097     1.283
2008     1.046     0.986     0.989     0.953     0.940     0.914     0.924     0.924     0.953     1.021     1.038     1.358
2009     1.020     0.942     1.017     0.951     0.918     0.942     0.923     0.920     0.948     0.989     1.067     1.377
2010     0.992     0.941     1.034     0.956     0.915     0.940     0.901     0.948     0.945     0.956     1.101     1.390
2011     0.985     0.940     1.039     0.927     0.943     0.939     0.875     0.966     0.949     0.945     1.104     1.373
2012     1.010     0.973     1.014     0.926     0.965     0.914     0.899     0.969     0.895     0.988     1.120     1.344
2013     1.027     0.934     0.986     0.952     0.964     0.889     0.919     0.947     0.916     0.990     1.094     1.394
2014     1.019     0.930     0.980     0.949     0.942     0.909     0.929     0.923     0.939     0.988     1.071     1.427
2015     0.991     0.925     1.005     0.957     0.926     0.939     0.942     0.924     0.934     0.967     1.100     1.439
2016     0.961     0.953     1.022     0.938     0.951     0.943     0.905     0.972     0.939     0.935     1.118     1.393
2017     0.966     0.908     1.019     0.918     0.978     0.954     0.904     0.977     0.911     0.964     1.117     1.357
2018     0.981     0.906     0.995     0.943     0.985     0.927     0.934     0.976     0.887                              
