RETAIL TOTAL (EXCL. FOOD SERVICES)


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992   146913    147270    146831    148082    149015    149821    150809    151064    152595    153577    153605    155504
1993   157525    156292    154774    158996    160624    160171    162832    162491    163285    164711    166593    168101
1994   167504    169652    172775    173099    172340    174307    174801    177289    178776    180569    180695    181492
1995   182423    179472    180996    181702    183543    186088    185470    186814    187338    186546    189052    190809
1996   189167    192269    193993    194712    196210    196127    196229    196215    198843    200488    200200    201191
1997   202414    204273    204965    203372    201676    204666    207049    207643    208298    208064    208982    209379
1998   209684    209532    210792    213623    214619    216324    214853    213669    215712    219465    221150    223226
1999   224020    226240    227407    228978    231238    231926    233933    236589    237516    237560    240462    245498
2000   243483    247133    249847    245789    246225    248178    247184    247601    251812    251267    250225    250603
2001   252736    252730    250346    254759    255262    254020    253015    254570    249856    268072    260363    256552
2002   256376    257677    257060    261320    257616    259815    262811    264975    260650    262011    263559    265802
2003   267276    263199    267842    267240    267347    270432    273393    277901    276413    274779    278322    277567
2004   278884    280966    286232    282971    288250    284146    287341    287909    293177    295055    296178    299766
2005   297187    300378    300212    304817    301773    311025    313690    309721    310428    310772    313061    313443
2006   322605    320117    321527    322458    321513    323034    324482    325130    322815    322651    323410    327238
2007   327067    328076    331135    329401    334155    330891    332200    333793    335711    337289    340762    336975
2008   337560    334452    334370    336149    337699    338439    336507    333813    327820    314779    301844    293999
2009   298881    297862    292698    293576    296569    301817    302569    309095    300839    304128    307130    308522
2010   308847    308703    316208    318425    315804    314951    315539    317154    320052    324337    327598    329715
2011   332554    334577    337859    339700    339347    341540    341491    341821    345254    348092    349275    349737
2012   352546    357166    358872    356670    356133    352170    353792    358186    361676    361819    362976    364795
2013   367271    372037    367505    368766    369455    371446    373075    372113    372451    373768    374229    376820
2014   373424    378385    382742    385975    386702    387912    387488    390329    389129    390327    391780    387814
2015   385414    383343    389634    388905    392927    393079    395117    395446    395482    394545    395480    396723
2016   394878    395126    393775    399134    399588    402608    403103    401824    404222                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.893     0.891     0.972     0.994     1.023     1.016     1.013     1.011     0.971     1.016     1.006     1.226
1993     0.874     0.860     0.988     0.996     1.019     1.018     1.011     1.011     0.977     0.995     1.019     1.230
1994     0.870     0.861     0.996     0.989     1.019     1.025     0.992     1.028     0.980     0.990     1.019     1.224
1995     0.869     0.864     1.004     0.970     1.037     1.029     0.987     1.035     0.973     0.988     1.023     1.194
1996     0.883     0.904     0.986     0.983     1.050     1.006     1.003     1.040     0.954     1.006     1.017     1.182
1997     0.893     0.872     0.986     0.984     1.051     1.007     1.008     1.020     0.966     1.008     0.994     1.195
1998     0.894     0.877     0.989     0.991     1.031     1.020     1.013     1.016     0.967     1.004     0.991     1.198
1999     0.878     0.881     1.007     0.995     1.027     1.021     1.012     1.016     0.971     0.982     1.003     1.200
2000     0.877     0.915     1.019     0.973     1.042     1.028     0.990     1.040     0.967     0.975     1.009     1.172
2001     0.892     0.883     1.019     0.974     1.048     1.021     0.993     1.046     0.950     0.988     1.010     1.165
2002     0.900     0.883     0.999     0.989     1.052     1.002     1.011     1.046     0.948     0.993     1.003     1.162
2003     0.905     0.882     0.994     0.992     1.052     1.001     1.021     1.027     0.960     0.996     0.983     1.178
2004     0.905     0.901     1.009     1.001     1.029     1.017     1.027     1.022     0.966     0.973     0.994     1.188
2005     0.885     0.882     1.016     0.996     1.032     1.023     1.008     1.036     0.968     0.967     0.996     1.185
2006     0.887     0.884     1.021     0.977     1.049     1.027     1.002     1.040     0.961     0.966     1.002     1.161
2007     0.903     0.885     1.021     0.977     1.056     1.021     1.001     1.041     0.942     0.980     1.006     1.154
2008     0.912     0.923     0.999     0.993     1.058     1.002     1.020     1.018     0.953     0.989     0.986     1.170
2009     0.917     0.889     1.003     0.999     1.037     1.013     1.020     1.010     0.955     0.988     0.987     1.175
2010     0.901     0.892     1.021     1.003     1.030     1.013     1.017     1.010     0.961     0.971     1.003     1.177
2011     0.895     0.893     1.030     0.999     1.028     1.017     0.996     1.027     0.965     0.967     1.007     1.173
2012     0.893     0.927     1.033     0.980     1.050     1.012     0.992     1.040     0.945     0.983     1.017     1.144
2013     0.908     0.892     1.012     0.992     1.055     0.994     1.008     1.042     0.946     0.990     1.013     1.143
2014     0.908     0.890     1.005     0.992     1.055     0.994     1.017     1.025     0.960     0.994     0.997     1.161
2015     0.904     0.887     1.003     0.996     1.036     1.010     1.026     1.021     0.963     0.992     0.997     1.169
2016     0.885     0.916     1.022     0.991     1.032     1.019     1.007     1.037     0.971     0.969     1.013     1.172
2017     0.880     0.883     1.025     0.973     1.048     1.023     1.003     1.044     0.966     0.969     1.018     1.150
2018     0.893     0.882     1.023     0.972     1.054     1.017     1.004     1.048     0.949                              
