RETAIL EXCL. MOTOR VEHICLE AND PARTS DEALERS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992   113435    113453    113495    114306    114658    115040    115610    116479    116705    117605    117677    119232
1993   119904    119569    118819    120475    121618    121279    122542    121987    123082    123854    124516    125305
1994   124844    125967    128300    128027    128242    129766    130324    132057    132462    133528    133492    134551
1995   135199    133570    134315    134646    135825    136436    136638    137066    138150    137275    139189    140646
1996   138818    139981    141645    143181    144010    144329    144225    144743    145659    147038    147490    148356
1997   148404    149672    150732    149511    149485    150600    151794    152155    152964    153208    153668    153616
1998   154190    154691    154657    156159    156737    157060    158533    158672    158516    160171    161333    162753
1999   163485    164980    165766    166828    168027    168474    169424    170876    172366    173041    174193    179589
2000   175804    178048    181414    179977    180444    181540    181979    182290    184962    185059    185580    187079
2001   186810    186542    184675    187826    188223    187310    186948    188220    185927    187617    187950    188332
2002   188711    189509    190490    193069    192554    192461    192867    192771    192584    194458    195628    196008
2003   197603    196664    199214    197660    197687    200107    202344    204982    205229    204962    206584    207464
2004   209614    209873    214095    213011    215429    215155    216103    216544    218448    221197    222771    224379
2005   224703    226679    226791    230574    228554    231524    231938    236041    239813    242824    239926    240111
2006   245516    246084    246693    247835    247544    247671    248441    250147    248230    247199    247426    251653
2007   251497    252311    255364    253464    257115    256086    257274    257307    258467    259723    264848    263474
2008   263694    262251    263067    265668    268524    271276    272252    268791    265400    258195    246849    239914
2009   242996    243707    239480    240228    242422    245239    244871    246833    247410    247640    249722    251607
2010   251867    252864    255216    256708    254105    253615    253041    254767    257007    259418    262118    264450
2011   266125    267226    270412    272888    273446    274924    274926    276162    276504    278212    279129    278136
2012   280906    284553    286048    283861    282708    279554    280797    284455    286358    287058    287058    287716
2013   289619    293363    290571    289923    290144    290436    291822    291106    292485    292558    292203    295322
2014   294357    297164    298834    300986    301290    302540    301717    303557    302949    303729    304103    300428
2015   297154    297281    299854    299157    301884    302315    304384    304043    303089    302164    302595    303703
2016   302850    302488    304051    307108    307864    310464    309110    308143    309539                              


NO SEASONAL FACTORS AVAILABLE
