SPORTING GOODS, HOBBY, BOOK & MUSIC STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     3877      4070      4010      4045      3983      3990      4091      4014      4096      4152      4162      4270
1993     4271      4183      4189      4329      4323      4302      4266      4304      4368      4365      4436      4494
1994     4493      4631      4692      4608      4729      4759      4741      4837      4917      4943      4827      4860
1995     5102      4881      4926      4959      4975      4995      5095      5159      5073      5057      5205      5177
1996     5247      5177      5208      5232      5106      5240      5279      5345      5285      5364      5395      5544
1997     5403      5300      5326      5320      5368      5460      5417      5370      5440      5524      5695      5569
1998     5528      5679      5656      5754      5724      5762      5720      5756      5752      5769      5783      5845
1999     5826      5981      5954      5971      6020      6094      6016      5983      6134      6108      6094      6158
2000     5972      6256      6383      6418      6494      6388      6488      6317      6397      6324      6213      6213
2001     6170      6470      6446      6369      6391      6294      6388      6428      6318      6439      6626      6552
2002     6519      6373      6368      6397      6403      6305      6282      6263      6435      6439      6606      6364
2003     6397      6211      6223      6300      6234      6464      6343      6598      6467      6382      6554      6495
2004     6616      6658      6563      6460      6463      6501      6607      6657      6663      6607      6658      6639
2005     6684      6763      6674      6812      6737      6640      6695      6694      6560      6848      6722      6923
2006     7180      7065      7066      7031      6936      6932      6868      6805      7011      6918      6793      6885
2007     6846      6798      7048      6935      7117      7120      7246      7118      7056      7177      7247      7105
2008     7130      7017      7018      7079      7234      7180      7139      7161      6751      6672      6701      6647
2009     6928      6770      6602      6766      6649      6670      6667      6813      6683      6600      6493      6703
2010     6741      6587      6665      6614      6653      6685      6667      6700      6652      6658      6818      6766
2011     6737      6798      6827      6792      6723      6786      6600      6835      6853      6730      6617      6503
2012     6762      6913      7053      7047      7051      6937      6950      6855      6840      6844      6741      6991
2013     7235      7241      7068      6946      7015      7056      7074      6882      6988      7048      7052      6974
2014     6588      6910      6883      6984      6978      7095      7113      7294      7214      7381      7376      7260
2015     7100      7245      7397      7505      7522      7426      7627      7670      7741      7657      7685      7774
2016     7653      7773      7812      7823      7883      8019      7826      7634      7742                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.887     0.802     0.866     0.871     0.890     0.905     0.889     0.993     0.927     0.905     1.064     2.006
1993     0.890     0.766     0.880     0.884     0.872     0.912     0.900     0.992     0.913     0.898     1.094     2.005
1994     0.875     0.765     0.886     0.890     0.868     0.904     0.895     1.013     0.927     0.881     1.108     1.997
1995     0.873     0.767     0.888     0.868     0.885     0.924     0.880     1.014     0.945     0.877     1.098     1.949
1996     0.889     0.791     0.895     0.870     0.894     0.919     0.894     1.037     0.902     0.889     1.115     1.912
1997     0.894     0.776     0.889     0.866     0.908     0.909     0.895     1.029     0.924     0.898     1.082     1.911
1998     0.904     0.783     0.878     0.867     0.905     0.931     0.908     1.009     0.932     0.906     1.069     1.870
1999     0.900     0.789     0.905     0.874     0.891     0.934     0.918     1.007     0.922     0.899     1.097     1.860
2000     0.889     0.825     0.906     0.869     0.902     0.932     0.892     1.030     0.957     0.874     1.097     1.836
2001     0.911     0.793     0.915     0.853     0.896     0.944     0.887     1.053     0.930     0.887     1.117     1.780
2002     0.921     0.793     0.918     0.856     0.900     0.911     0.903     1.081     0.917     0.882     1.112     1.795
2003     0.942     0.792     0.885     0.870     0.906     0.896     0.902     1.089     0.941     0.892     1.074     1.797
2004     0.960     0.806     0.896     0.869     0.881     0.924     0.926     1.076     0.935     0.893     1.081     1.772
2005     0.938     0.789     0.909     0.871     0.882     0.916     0.925     1.106     0.951     0.873     1.080     1.760
2006     0.938     0.786     0.906     0.860     0.903     0.933     0.911     1.115     0.968     0.868     1.058     1.722
2007     0.955     0.783     0.917     0.848     0.908     0.957     0.913     1.135     0.942     0.877     1.068     1.660
2008     0.954     0.821     0.909     0.866     0.927     0.921     0.927     1.146     0.948     0.875     1.040     1.681
2009     0.968     0.782     0.900     0.870     0.926     0.946     0.934     1.127     0.956     0.874     1.025     1.661
2010     0.958     0.786     0.931     0.879     0.907     0.956     0.939     1.126     0.941     0.868     1.049     1.662
2011     0.931     0.791     0.928     0.907     0.906     0.942     0.933     1.140     0.952     0.851     1.065     1.663
2012     0.921     0.824     0.950     0.868     0.918     0.971     0.913     1.141     0.939     0.870     1.074     1.609
2013     0.923     0.794     0.960     0.877     0.928     0.941     0.931     1.141     0.924     0.875     1.087     1.630
2014     0.920     0.792     0.924     0.898     0.934     0.925     0.932     1.129     0.944     0.889     1.064     1.659
2015     0.916     0.789     0.926     0.874     0.930     0.954     0.942     1.088     0.942     0.898     1.056     1.659
2016     0.902     0.809     0.945     0.891     0.909     0.954     0.945     1.095     0.938     0.872     1.094     1.687
2017     0.875     0.786     0.943     0.885     0.931     0.971     0.927     1.087     0.952     0.868     1.081     1.677
2018     0.888     0.786     0.965     0.858     0.931     0.991     0.924     1.093     0.923                              
