RETAIL & FOOD SERVICES(EXCL. MOTOR VEH. & PARTS DEALERS)


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992   130605    130443    130411    130983    131260    131317    132106    133212    133517    134709    135097    136723
1993   137457    137047    136373    138245    139439    139309    140469    140188    141597    142053    142669    143543
1994   142468    144392    147113    146560    146842    148655    149286    150925    151440    152538    152520    153729
1995   154359    152481    153549    153992    155275    155855    156127    156781    157790    156886    158798    160271
1996   158382    159723    161507    163113    164104    164261    164370    164883    166056    167589    168279    169063
1997   169514    170808    171903    170727    170715    171982    173483    173829    174950    174966    175172    175434
1998   176111    176823    176908    178512    179173    179694    181103    181415    181346    183237    184490    186104
1999   186356    188250    189016    190268    191527    192020    192932    194540    196202    197306    198614    203967
2000   200412    202935    206781    205192    205637    206802    207433    207632    210673    210765    211278    212212
2001   212990    212611    210797    213871    214501    213689    213455    215073    212166    214158    214547    215488
2002   215912    216893    217693    220569    219932    220047    220483    220378    220368    222081    223544    224025
2003   225621    224643    227719    226063    226735    229337    231739    234826    234732    235007    236813    237259
2004   239955    240334    244798    243571    246141    245980    247294    247580    249878    252822    254430    256490
2005   256703    259148    259096    263365    261332    264533    264963    269270    273096    276442    273912    274109
2006   280537    280581    281523    282697    282454    282400    283176    285514    283883    282983    283272    288715
2007   287892    288325    291943    290128    293847    293128    294546    294496    295894    297482    302457    301848
2008   301437    299460    300658    303396    306615    309421    310519    307069    303747    296316    284947    277980
2009   281092    281610    277001    277966    280143    282954    282588    284443    284927    285102    287503    289343
2010   289369    291133    293633    295369    292731    292494    292038    294173    296395    298936    301872    304034
2011   305612    307652    311025    313472    314497    316465    316401    317882    318563    320422    321332    320094
2012   323640    327568    329006    327286    326038    323107    324521    328206    330389    330837    331409    332389
2013   334555    338109    335580    334548    334896    334979    336709    336094    337716    338476    339030    341393
2014   340128    343436    345799    348093    348749    350215    349658    351826    351752    353231    353768    350610
2015   347621    347517    350683    350607    353357    353983    356379    356335    355467    354685    355569    357428
2016   356013    356656    358183    361371    362411    365265    363856    363295    365138                              


NO SEASONAL FACTORS AVAILABLE
